"sample_id","suggested_min_nFeature","suggested_max_nFeature","suggested_min_nCount","suggested_max_nCount","suggested_max_percent_mt","stringsAsFactors"
"OSCC",200,8859,540,107626,96,FALSE
"scB1",200,9010,528,127529,95,FALSE
"scB2",200,6910,523,62323,95,FALSE
"scB5",200,5567,514,29008,89,FALSE
"scB7",200,6190,513,53316,90,FALSE
"scB8",200,5528,508,27543,44,FALSE
"scB9",200,7890,521,82304,94,FALSE
"scB10",200,8721,528,104793,95,FALSE
"scB12",200,8094,504,81651,82,FALSE
"scB13",200,2639,502,9238,55,FALSE
"scB14",200,8293,506,79623,86,FALSE
"scB15",200,6366,504,40177,60,FALSE
