"sample_id","raw_cells","median_nFeature_RNA","mean_nFeature_RNA","q01_nFeature_RNA","q05_nFeature_RNA","q95_nFeature_RNA","q99_nFeature_RNA","median_nCount_RNA","mean_nCount_RNA","q01_nCount_RNA","q05_nCount_RNA","q95_nCount_RNA","q99_nCount_RNA","median_percent_mt","mean_percent_mt","q01_percent_mt","q05_percent_mt","q95_percent_mt","q99_percent_mt","median_percent_ribo"
"OSCC",4631,1513,2095.10451306413,120,279,6216,8858.1,3930,9945.40250485856,540,713.5,37173.5,107625.1,5.69201700519603,13.1778034775585,0.061195665077074,0.512633067675783,83.8421864505507,95.8938954900233,11.0211543483938
"scB1",6858,1403.5,2410.37882764654,107,178,7802.3,9009.29,3750.5,15011.2578011082,528,643.7,75650.9999999999,127528.23,6.95099686286472,10.9463961617997,0.115638616740122,0.431034482758621,39.7001660737505,94.3214645346323,14.71117788045
"scB2",2649,1277,1786.15477538694,121,297,5123.6,6909.04,3521,8024.48357870894,523.48,621.4,33554.8,62322.8,7.17437176290044,13.6717375992614,0,0.256180367855495,72.618815255445,94.915100185912,9.5928226363009
"scB5",3584,1225,1354.85714285714,153,202,3105.8,5566.59000000001,2846.5,4156.55189732143,514.83,596.15,9841.4,29007.55,6.03712905479255,9.65909012602425,0.188244753719322,0.557238044985459,28.2025463475067,88.1934403596566,14.3667752438751
"scB7",5306,889,1497.23595929137,134,309,4496,6190,2014,6096.06407840181,513,566,25916,53315.5999999999,5.91452326547516,12.7605713406842,0.091047681586093,0.531682045790949,56.7561933578596,89.8690025244439,6.15691135965391
"scB8",12259,760,1068.12366424668,194,301,2903.4,5527.4,1574,3136.7875846317,508,546.9,10343.6,27542.14,9.78781213611075,11.9932752726362,1.04206128373664,2.49646388004382,28.4741814740204,43.5264165237848,17.8916109873794
"scB9",6534,1117.5,1998.26675849403,118.33,159,6378.4,7889.67,2804,10107.1827364555,521,607.65,46721.15,82303.13,7.17854650831624,17.5510222165936,0.288600288600289,0.812802790233304,87.5538073157462,93.1717275657205,14.4976397476219
"scB10",4070,1538,2075.19459459459,129,236,6414.69999999999,8720.68,4111,10721.3965601966,528,652.45,46152.65,104792.66,6.62704729139225,16.585824770498,0.249751981827454,0.990983026874116,85.115570365605,94.1144925642995,12.7673984120441
"scB12",3104,507.5,1123.20940721649,159,241.15,5139.1,8093.91999999999,1053.5,5813.29703608247,504,525,30517.35,81650.4999999997,5.74290875033449,8.81520154800046,0.341936251721415,0.979875161735223,26.1972162136744,81.2740790500374,18.770276992822
"scB13",2410,392.5,529.205394190871,132.09,261,1183.95,2638.66999999999,811,1359.31950207469,502,518,3697.29999999999,9237.89999999999,8.80872552105429,10.9386871569619,1.02899277658014,2.13124664174726,25.5144569193002,54.5897847785602,22.4796263168356
"scB14",1893,684,1444.83465398838,130.92,187,5524.4,8292.36,1720,6592.20707871104,506,542,29397.3999999999,79622.0799999997,8.55365474339036,12.0035666452211,1.11725519836913,2.3493129043453,31.6581150724741,85.1759755632728,15.1435688999607
"scB15",1192,519.5,1104.97902684564,103,122,3854.5,6365.28999999998,1489,4278.31543624161,504,531,16008.25,40176.2799999998,9.84377372596829,13.8430639235579,0.611961406108986,1.71470753572591,39.8281443298969,59.5757386953648,13.2351433747183
