"sample_id","cells_before_QC","cells_after_03b","retention_03b_percent","cells_after_old_03","retention_old_03_percent","difference_03b_minus_old03"
"OSCC",4631,3862,83.39,3918,84.6,-56
"scB1",6858,5658,82.5,5860,85.45,-202
"scB2",2649,2236,84.41,2209,83.39,27
"scB5",3584,3175,88.59,3140,87.61,35
"scB7",5306,4384,82.62,4331,81.62,53
"scB8",12259,10381,84.68,10260,83.69,121
"scB9",6534,5051,77.3,5032,77.01,19
"scB10",4070,3125,76.78,3142,77.2,-17
"scB12",3104,2741,88.31,2739,88.24,2
"scB13",2410,2134,88.55,2104,87.3,30
"scB14",1893,1532,80.93,1532,80.93,0
"scB15",1192,805,67.53,794,66.61,11
