"sample_id","cells_before_QC","fail_min_feature","fail_max_feature","fail_min_count","fail_max_count","fail_high_mt","cells_removed_total","cells_after_QC","retention_rate_percent"
"OSCC",4631,151,46,0,47,653,713,3918,84.6
"scB1",6858,371,69,0,69,688,998,5860,85.45
"scB2",2649,93,27,0,27,401,440,2209,83.39
"scB5",3584,173,36,0,36,307,444,3140,87.61
"scB7",5306,137,54,1,54,874,975,4331,81.62
"scB8",12259,134,123,0,123,1767,1999,10260,83.69
"scB9",6534,464,64,0,66,1411,1502,5032,77.01
"scB10",4070,165,41,0,41,865,928,3142,77.2
"scB12",3104,97,32,1,32,250,365,2739,88.24
"scB13",2410,50,25,9,25,239,306,2104,87.3
"scB14",1893,112,19,0,19,249,361,1532,80.93
"scB15",1192,151,12,0,12,244,398,794,66.61
