"sample_id","cells_before_QC","fail_min_feature","fail_max_feature","fail_min_count","fail_max_count","fail_high_mt","cells_removed_total","cells_after_QC","retention_rate_percent","median_nFeature_before","median_nCount_before","median_percent_mt_before"
"OSCC",4631,151,115,0,60,653,769,3862,83.39,1513,3930,5.69201700519603
"scB1",6858,371,286,0,155,688,1200,5658,82.5,1403.5,3750.5,6.95099686286472
"scB2",2649,93,7,0,5,401,413,2236,84.41,1277,3521,7.17437176290044
"scB5",3584,173,5,0,5,307,409,3175,88.59,1225,2846.5,6.03712905479255
"scB7",5306,137,8,1,9,874,922,4384,82.62,889,2014,5.91452326547516
"scB8",12259,134,5,0,2,1767,1878,10381,84.68,760,1574,9.78781213611075
"scB9",6534,464,51,0,30,1411,1483,5051,77.3,1117.5,2804,7.17854650831624
"scB10",4070,165,67,0,43,865,945,3125,76.78,1538,4111,6.62704729139225
"scB12",3104,97,37,1,16,250,363,2741,88.31,507.5,1053.5,5.74290875033449
"scB13",2410,50,0,9,0,239,276,2134,88.55,392.5,811,8.80872552105429
"scB14",1893,112,23,0,13,249,361,1532,80.93,684,1720,8.55365474339036
"scB15",1192,151,4,0,1,244,387,805,67.53,519.5,1489,9.84377372596829
