"cluster_res_0.5","sample_id","cell_number","percent_in_cluster"
"0","scB8",1808,20.67
"0","scB7",1560,17.83
"0","scB5",1253,14.32
"0","scB9",1134,12.96
"0","scB10",736,8.41
"0","OSCC",602,6.88
"0","scB1",600,6.86
"0","scB2",584,6.68
"0","scB14",195,2.23
"0","scB15",145,1.66
"0","scB13",69,0.79
"0","scB12",63,0.72
"1","scB8",2646,35.22
"1","scB12",1193,15.88
"1","scB1",981,13.06
"1","scB9",860,11.45
"1","scB13",688,9.16
"1","scB10",290,3.86
"1","OSCC",267,3.55
"1","scB5",255,3.39
"1","scB14",130,1.73
"1","scB7",93,1.24
"1","scB15",61,0.81
"1","scB2",49,0.65
"2","scB8",837,20.03
"2","OSCC",738,17.66
"2","scB9",649,15.53
"2","scB1",594,14.21
"2","scB10",409,9.79
"2","scB7",347,8.3
"2","scB2",306,7.32
"2","scB5",89,2.13
"2","scB12",65,1.56
"2","scB14",59,1.41
"2","scB13",47,1.12
"2","scB15",39,0.93
"3","scB8",1135,27.25
"3","scB13",849,20.38
"3","scB1",489,11.74
"3","scB12",485,11.64
"3","scB7",470,11.28
"3","scB9",180,4.32
"3","scB5",173,4.15
"3","scB14",118,2.83
"3","scB2",107,2.57
"3","scB15",71,1.7
"3","OSCC",67,1.61
"3","scB10",21,0.5
"4","scB1",1087,28.18
"4","scB9",943,24.44
"4","scB8",366,9.49
"4","scB12",337,8.74
"4","scB13",258,6.69
"4","scB10",228,5.91
"4","OSCC",220,5.7
"4","scB7",143,3.71
"4","scB2",126,3.27
"4","scB5",72,1.87
"4","scB14",65,1.68
"4","scB15",13,0.34
"5","scB8",894,27.7
"5","scB1",486,15.06
"5","OSCC",447,13.85
"5","scB7",383,11.87
"5","scB10",233,7.22
"5","scB2",223,6.91
"5","scB5",208,6.45
"5","scB9",149,4.62
"5","scB14",64,1.98
"5","scB12",62,1.92
"5","scB15",49,1.52
"5","scB13",29,0.9
"6","scB10",483,21.58
"6","scB8",332,14.83
"6","scB7",322,14.39
"6","OSCC",282,12.6
"6","scB9",229,10.23
"6","scB2",193,8.62
"6","scB5",189,8.45
"6","scB1",120,5.36
"6","scB15",36,1.61
"6","scB14",25,1.12
"6","scB12",17,0.76
"6","scB13",10,0.45
"7","scB8",375,16.92
"7","OSCC",341,15.39
"7","scB9",329,14.85
"7","scB1",236,10.65
"7","scB12",225,10.15
"7","scB14",199,8.98
"7","scB10",157,7.08
"7","scB5",106,4.78
"7","scB15",102,4.6
"7","scB7",99,4.47
"7","scB2",24,1.08
"7","scB13",23,1.04
"8","scB8",472,28.2
"8","scB5",378,22.58
"8","scB7",209,12.49
"8","scB14",179,10.69
"8","scB1",139,8.3
"8","OSCC",123,7.35
"8","scB15",72,4.3
"8","scB2",36,2.15
"8","scB9",26,1.55
"8","scB12",25,1.49
"8","scB10",13,0.78
"8","scB13",2,0.12
"9","scB8",493,31.08
"9","OSCC",193,12.17
"9","scB10",163,10.28
"9","scB1",160,10.09
"9","scB12",158,9.96
"9","scB5",133,8.39
"9","scB7",76,4.79
"9","scB14",75,4.73
"9","scB9",59,3.72
"9","scB2",39,2.46
"9","scB15",36,2.27
"9","scB13",1,0.06
"10","scB14",293,18.95
"10","scB8",196,12.68
"10","scB7",184,11.9
"10","scB1",167,10.8
"10","scB9",159,10.28
"10","OSCC",152,9.83
"10","scB5",120,7.76
"10","scB15",119,7.7
"10","scB13",60,3.88
"10","scB2",52,3.36
"10","scB10",25,1.62
"10","scB12",19,1.23
"11","scB8",266,17.42
"11","scB10",237,15.52
"11","scB7",214,14.01
"11","OSCC",194,12.7
"11","scB1",140,9.17
"11","scB9",136,8.91
"11","scB2",95,6.22
"11","scB5",93,6.09
"11","scB12",61,3.99
"11","scB14",45,2.95
"11","scB15",25,1.64
"11","scB13",21,1.38
"12","scB2",289,36.58
"12","scB1",168,21.27
"12","scB8",76,9.62
"12","OSCC",61,7.72
"12","scB7",41,5.19
"12","scB14",38,4.81
"12","scB13",36,4.56
"12","scB5",25,3.16
"12","scB9",18,2.28
"12","scB10",16,2.03
"12","scB15",12,1.52
"12","scB12",10,1.27
"13","scB8",175,28.97
"13","OSCC",139,23.01
"13","scB9",97,16.06
"13","scB7",53,8.77
"13","scB1",41,6.79
"13","scB10",39,6.46
"13","scB2",28,4.64
"13","scB5",17,2.81
"13","scB14",10,1.66
"13","scB15",4,0.66
"13","scB12",1,0.17
"14","scB1",248,45.34
"14","scB7",75,13.71
"14","scB8",45,8.23
"14","OSCC",42,7.68
"14","scB10",41,7.5
"14","scB9",32,5.85
"14","scB2",26,4.75
"14","scB5",15,2.74
"14","scB14",12,2.19
"14","scB13",7,1.28
"14","scB12",4,0.73
"15","scB1",103,23.68
"15","scB8",99,22.76
"15","scB10",51,11.72
"15","OSCC",50,11.49
"15","scB7",50,11.49
"15","scB9",28,6.44
"15","scB2",17,3.91
"15","scB14",11,2.53
"15","scB12",10,2.3
"15","scB15",7,1.61
"15","scB5",5,1.15
"15","scB13",4,0.92
"16","scB1",88,57.89
"16","scB8",26,17.11
"16","scB14",11,7.24
"16","scB2",8,5.26
"16","scB7",8,5.26
"16","scB5",4,2.63
"16","scB9",4,2.63
"16","scB15",3,1.97
"17","scB8",19,34.55
"17","scB1",13,23.64
"17","scB2",7,12.73
"17","scB5",5,9.09
"17","scB12",4,7.27
"17","scB7",4,7.27
"17","scB14",3,5.45
