"rank","gene"
1,"IGHA1"
2,"IGLC1"
3,"CCL21"
4,"IGLC2"
5,"HBB"
6,"IGHG2"
7,"LCN2"
8,"IGLC3"
9,"CNFN"
10,"SPP1"
11,"SPRR2E"
12,"HBA2"
13,"IGHGP"
14,"CXCL5"
15,"KRT13"
16,"CCL18"
17,"KRT4"
18,"IGHG4"
19,"HBA1"
20,"SPINK5"
21,"PI3"
22,"MMP3"
23,"S100P"
24,"MMP11"
25,"JCHAIN"
26,"PTGDS"
27,"SPRR3"
28,"POSTN"
29,"DEFB1"
30,"KRT1"
31,"IGLV3-19"
32,"CCL17"
33,"CCL19"
34,"PRG2"
35,"APOD"
36,"IGLV3-21"
37,"APOC1"
38,"SPRR2D"
39,"IGHV3-23"
40,"IGKV4-1"
41,"IGHM"
42,"MUCL1"
43,"KLK7"
44,"IGHV3-33"
45,"HPGD"
46,"IGHG1"
47,"CALML5"
48,"KLK6"
49,"IGKV1-5"
50,"IGLV1-44"
51,"KLK13"
52,"S100A12"
53,"SELE"
54,"ACTA2"
55,"CHI3L1"
56,"SLURP2"
57,"TPSB2"
58,"FABP4"
59,"SFRP2"
60,"S100A7"
61,"CTSG"
62,"KRT15"
63,"IGHG3"
64,"MMP10"
65,"KRT10"
66,"KRTDAP"
67,"IGF1"
68,"CRCT1"
69,"STC1"
70,"ZG16B"
71,"SFRP4"
72,"SPRR2A"
73,"IGLV3-1"
74,"SERPINB4"
75,"IGFBP5"
76,"RARRES1"
77,"APOBEC3A"
78,"PLA2G2A"
79,"CCL11"
80,"SLURP1"
81,"PIGR"
82,"CFD"
83,"AZGP1"
84,"TPSAB1"
85,"AMTN"
86,"LGALS7"
87,"PRR4"
88,"IGKV3-20"
89,"CPA3"
90,"SERPINB2"
91,"S100A7A"
92,"MMP12"
93,"CXCL6"
94,"CCL14"
95,"IGHV1-18"
96,"CCL22"
97,"MT1M"
98,"MMP13"
99,"IGKC"
100,"IGHV3-15"
101,"KRT19"
102,"IGFL1"
103,"IGHV1-24"
104,"IGLV2-11"
105,"RGS5"
106,"IGKV1-39"
107,"IGLV1-40"
108,"IGKV3-11"
109,"CCL8"
110,"APOE"
111,"SBSN"
