"celltype_panel","gene"
"Epithelial_like","EPCAM"
"Epithelial_like","KRT8"
"Epithelial_like","KRT18"
"Epithelial_like","KRT19"
"Epithelial_like","KRT5"
"Epithelial_like","KRT14"
"Epithelial_like","KRT15"
"Epithelial_like","KRT17"
"Epithelial_like","KRT16"
"Epithelial_like","KRT13"
"Epithelial_like","SFN"
"T_cell","CD3D"
"T_cell","CD3E"
"T_cell","TRAC"
"T_cell","CD247"
"T_cell","IL7R"
"T_cell","LTB"
"T_cell","MALAT1"
"NK_cell","NKG7"
"NK_cell","GNLY"
"NK_cell","PRF1"
"NK_cell","GZMB"
"NK_cell","KLRD1"
"NK_cell","FCGR3A"
"B_cell","MS4A1"
"B_cell","CD79A"
"B_cell","CD74"
"B_cell","HLA-DRA"
"B_cell","CD37"
"B_cell","CD79B"
"Plasma_cell","MZB1"
"Plasma_cell","JCHAIN"
"Plasma_cell","SDC1"
"Plasma_cell","IGKC"
"Plasma_cell","IGHG1"
"Plasma_cell","DERL3"
"Myeloid","LST1"
"Myeloid","TYROBP"
"Myeloid","FCER1G"
"Myeloid","CTSD"
"Myeloid","LGALS3"
"Myeloid","AIF1"
"Macrophage","C1QA"
"Macrophage","C1QB"
"Macrophage","C1QC"
"Macrophage","APOE"
"Macrophage","CD68"
"Macrophage","CD163"
"Dendritic_cell","FCER1A"
"Dendritic_cell","CD1C"
"Dendritic_cell","CLEC10A"
"Dendritic_cell","CLEC9A"
"Fibroblast","COL1A1"
"Fibroblast","COL1A2"
"Fibroblast","COL3A1"
"Fibroblast","DCN"
"Fibroblast","LUM"
"Fibroblast","COL6A1"
"Fibroblast","COL6A2"
"Fibroblast","C7"
"Endothelial","PECAM1"
"Endothelial","VWF"
"Endothelial","KDR"
"Endothelial","EMCN"
"Endothelial","RAMP2"
"Endothelial","CLDN5"
"Mural_pericyte","RGS5"
"Mural_pericyte","MCAM"
"Mural_pericyte","CSPG4"
"Mural_pericyte","PDGFRB"
"Mural_pericyte","NOTCH3"
"Mural_pericyte","MYH11"
"Mural_pericyte","ACTA2"
"Mural_pericyte","TAGLN"
"Mast_cell","TPSAB1"
"Mast_cell","TPSB2"
"Mast_cell","KIT"
"Mast_cell","CPA3"
"Mast_cell","MS4A2"
