"gene","present_in_matrix"
"EPCAM",TRUE
"KRT8",TRUE
"KRT18",TRUE
"KRT19",TRUE
"KRT5",TRUE
"KRT14",TRUE
"KRT15",TRUE
"KRT17",TRUE
"KRT16",TRUE
"KRT13",TRUE
"SFN",TRUE
"CD3D",TRUE
"CD3E",TRUE
"TRAC",TRUE
"CD247",TRUE
"IL7R",TRUE
"LTB",TRUE
"MALAT1",TRUE
"NKG7",TRUE
"GNLY",TRUE
"PRF1",TRUE
"GZMB",TRUE
"KLRD1",TRUE
"FCGR3A",TRUE
"MS4A1",TRUE
"CD79A",TRUE
"CD74",TRUE
"HLA-DRA",TRUE
"CD37",TRUE
"CD79B",TRUE
"MZB1",TRUE
"JCHAIN",TRUE
"SDC1",TRUE
"IGKC",TRUE
"IGHG1",TRUE
"DERL3",TRUE
"LST1",TRUE
"TYROBP",TRUE
"FCER1G",TRUE
"CTSD",TRUE
"LGALS3",TRUE
"AIF1",TRUE
"C1QA",TRUE
"C1QB",TRUE
"C1QC",TRUE
"APOE",TRUE
"CD68",TRUE
"CD163",TRUE
"FCER1A",TRUE
"CD1C",TRUE
"CLEC10A",TRUE
"CLEC9A",TRUE
"COL1A1",TRUE
"COL1A2",TRUE
"COL3A1",TRUE
"DCN",TRUE
"LUM",TRUE
"COL6A1",TRUE
"COL6A2",TRUE
"C7",TRUE
"PECAM1",TRUE
"VWF",TRUE
"KDR",TRUE
"EMCN",TRUE
"RAMP2",TRUE
"CLDN5",TRUE
"RGS5",TRUE
"MCAM",TRUE
"CSPG4",TRUE
"PDGFRB",TRUE
"NOTCH3",TRUE
"MYH11",TRUE
"ACTA2",TRUE
"TAGLN",TRUE
"TPSAB1",TRUE
"TPSB2",TRUE
"KIT",TRUE
"CPA3",TRUE
"MS4A2",TRUE
