"celltype_manual","epithelial_status_initial","gene","cell_number","percent_expressed","mean_expression","median_expression"
"Fibroblast_CAF","non_epithelial","COL1A1",2249,88.97,3.5184574879669,4.01826754264975
"Cycling_epithelial_tumor_candidate","malignant_candidate","COL1A1",3851,16.1,0.396315360642215,0
"Blood_endothelial","non_epithelial","COL1A1",1589,12.4,0.265093551516045,0
"Epithelial_tumor_candidate","malignant_candidate","COL1A1",3521,40.87,0.209732935835676,0
"Differentiated_epithelial_tumor_candidate","malignant_candidate","COL1A1",4723,6.67,0.138118318623621,0
"Salivary_epithelial_normal_like","nonmalignant_epithelial_candidate","COL1A1",61,8.2,0.133333032256132,0
"Plasma_cell","non_epithelial","COL1A1",1600,9,0.121519051117388,0
"Cancer_testis_epithelial_tumor_candidate","malignant_candidate","COL1A1",3532,5.38,0.116382602284726,0
"Treg","non_epithelial","COL1A1",3280,6.19,0.0771905513518654,0
"Macrophage","non_epithelial","COL1A1",5093,5.97,0.0745801204098182,0
"B_cell","non_epithelial","COL1A1",1667,4.32,0.065389691850812,0
"Cytotoxic_T_NKT","non_epithelial","COL1A1",12299,3.81,0.0643690243596636,0
"Lymphatic_endothelial","non_epithelial","COL1A1",134,8.96,0.0529648154411173,0
"Plasmacytoid_DC","non_epithelial","COL1A1",687,4.51,0.0480374743918074,0
"Mast_cell","non_epithelial","COL1A1",798,1.5,0.0240949200663475,0
"Blood_endothelial","non_epithelial","EMP1",1589,71.3,1.35703496321123,1.55222021522231
"Fibroblast_CAF","non_epithelial","EMP1",2249,66.65,1.06791078476592,1.14235164761245
"Lymphatic_endothelial","non_epithelial","EMP1",134,80.6,1.04853325813493,1.13625155437259
"Epithelial_tumor_candidate","malignant_candidate","EMP1",3521,65.86,0.432900886583638,0.317695329574903
"Macrophage","non_epithelial","EMP1",5093,12.94,0.159477837431216,0
"Salivary_epithelial_normal_like","nonmalignant_epithelial_candidate","EMP1",61,14.75,0.140292004045199,0
"Differentiated_epithelial_tumor_candidate","malignant_candidate","EMP1",4723,5.5,0.105102865309073,0
"Cycling_epithelial_tumor_candidate","malignant_candidate","EMP1",3851,4.73,0.0940336298218985,0
"Cytotoxic_T_NKT","non_epithelial","EMP1",12299,2.21,0.0358051677668685,0
"Plasmacytoid_DC","non_epithelial","EMP1",687,3.93,0.0353796736223486,0
"Plasma_cell","non_epithelial","EMP1",1600,2.31,0.0285379806100569,0
"Cancer_testis_epithelial_tumor_candidate","malignant_candidate","EMP1",3532,1.33,0.0273326625992576,0
"Mast_cell","non_epithelial","EMP1",798,2.88,0.0251647198132692,0
"Treg","non_epithelial","EMP1",3280,2.01,0.0239456651729657,0
"B_cell","non_epithelial","EMP1",1667,1.14,0.017469279928981,0
"Fibroblast_CAF","non_epithelial","MYH11",2249,12.81,0.264174296718915,0
"B_cell","non_epithelial","MYH11",1667,4.14,0.0619800928050699,0
"Macrophage","non_epithelial","MYH11",5093,4.52,0.0488192351509492,0
"Blood_endothelial","non_epithelial","MYH11",1589,4.97,0.0388578328525494,0
"Treg","non_epithelial","MYH11",3280,3.29,0.0373287797093024,0
"Cytotoxic_T_NKT","non_epithelial","MYH11",12299,1.9,0.0309522932767179,0
"Mast_cell","non_epithelial","MYH11",798,1.88,0.0211853881663227,0
"Plasmacytoid_DC","non_epithelial","MYH11",687,1.75,0.0182578433845844,0
"Lymphatic_endothelial","non_epithelial","MYH11",134,3.73,0.0165863515282615,0
"Epithelial_tumor_candidate","malignant_candidate","MYH11",3521,4.35,0.0123433805856719,0
"Differentiated_epithelial_tumor_candidate","malignant_candidate","MYH11",4723,0.44,0.00872671484884403,0
"Plasma_cell","non_epithelial","MYH11",1600,0.81,0.00782625115967761,0
"Cancer_testis_epithelial_tumor_candidate","malignant_candidate","MYH11",3532,0.34,0.00554235162857608,0
"Cycling_epithelial_tumor_candidate","malignant_candidate","MYH11",3851,0.08,0.0017590645625088,0
"Salivary_epithelial_normal_like","nonmalignant_epithelial_candidate","MYH11",61,0,0,0
"Lymphatic_endothelial","non_epithelial","SASH1",134,67.91,0.622037036011956,0.615142283617154
"Blood_endothelial","non_epithelial","SASH1",1589,47.39,0.529547763537701,0
"Fibroblast_CAF","non_epithelial","SASH1",2249,30.77,0.264446529921207,0
"Salivary_epithelial_normal_like","nonmalignant_epithelial_candidate","SASH1",61,18.03,0.173187648499451,0
"Macrophage","non_epithelial","SASH1",5093,15.63,0.172581840340969,0
"Epithelial_tumor_candidate","malignant_candidate","SASH1",3521,18.46,0.071087643919938,0
"Differentiated_epithelial_tumor_candidate","malignant_candidate","SASH1",4723,1.31,0.0255606846758129,0
"Cancer_testis_epithelial_tumor_candidate","malignant_candidate","SASH1",3532,1.02,0.0175755693287051,0
"B_cell","non_epithelial","SASH1",1667,0.36,0.0068131050497718,0
"Plasma_cell","non_epithelial","SASH1",1600,0.5,0.00590499557205996,0
"Cycling_epithelial_tumor_candidate","malignant_candidate","SASH1",3851,0.29,0.00527117225513893,0
"Plasmacytoid_DC","non_epithelial","SASH1",687,0.29,0.00458920355218036,0
"Cytotoxic_T_NKT","non_epithelial","SASH1",12299,0.22,0.00367227962973163,0
"Treg","non_epithelial","SASH1",3280,0.24,0.00352759326470059,0
"Mast_cell","non_epithelial","SASH1",798,0.38,0.00165701019765295,0
