"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,8.88379481696681,0.125,0,0,"10","TACR1"
0,8.51064951095733,0.42,0.004,0,"10","ACKR1"
0,8.46247129161316,0.277,0.001,0,"10","FAM110D"
0,8.2943372568597,0.386,0.003,0,"10","CCL14"
0,8.13698934342493,0.614,0.002,0,"10","EMCN"
0,8.00672408037596,0.69,0.004,0,"10","CLEC14A"
0,7.89074834630371,0.429,0.006,0,"10","SELE"
0,7.88062334213694,0.778,0.013,0,"10","VWF"
0,7.72265713213962,0.109,0.001,0,"10","CRTAC1"
0,7.69187658154238,0.402,0.002,0,"10","TEK"
0,7.68014720052098,0.569,0.004,0,"10","KDR"
0,7.65690534167002,0.768,0.012,0,"10","PLVAP"
0,7.5844565635203,0.532,0.009,0,"10","SLCO2A1"
0,7.53635594523017,0.702,0.006,0,"10","ADGRL4"
0,7.45894160763918,0.351,0.002,0,"10","ARHGEF15"
0,5.03399067558685,0.735,0.076,0,"5","TNFRSF4"
0,5.0182052098758,0.512,0.025,0,"5","FOXP3"
0,4.88975713986087,0.395,0.023,0,"5","LAIR2"
0,4.73192342200081,0.213,0.011,0,"5","LINC02099"
0,4.30376818766062,0.166,0.018,0,"5","FANK1"
0,4.23650571730734,0.551,0.055,0,"5","IL2RA"
0,4.22409724804301,0.117,0.007,0,"5","GNG8"
0,4.11628181357714,0.763,0.102,0,"5","TNFRSF18"
0,4.0399598380448,0.693,0.073,0,"5","CTLA4"
0,3.8730428605409,0.193,0.013,0,"5","F5"
0,3.82072223331719,0.136,0.014,0,"5","AC017002.3"
0,3.81186143896447,0.682,0.096,0,"5","BATF"
0,3.80757894932215,0.705,0.082,0,"5","ICOS"
0,3.70119133101845,0.386,0.058,0,"5","RTKN2"
0,3.60279871131118,0.159,0.015,0,"5","MAL"
0,8.71157923081115,0.227,0.001,0,"7","Z97200.1"
0,8.31357160652835,0.184,0.001,0,"7","LAMC3"
0,7.9764219295462,0.228,0.001,0,"7","MASP1"
0,7.86956935380826,0.151,0.001,0,"7","COL10A1"
0,7.82781998552514,0.121,0.001,0,"7","LHX8"
