"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.750750900805,0.841,0.051,0,"10","SPARCL1"
0,5.27491200900307,0.848,0.063,0,"10","GNG11"
0,5.22423463775284,0.843,0.076,0,"10","A2M"
0,7.90914820057014,0.779,0.013,0,"10","VWF"
0,7.64120871005648,0.767,0.012,0,"10","PLVAP"
0,7.27502815381033,0.765,0.022,0,"10","AQP1"
0,6.03430938028997,0.812,0.072,0,"10","HSPG2"
0,5.12955789083955,0.819,0.082,0,"10","PECAM1"
0,5.94464599371207,0.768,0.04,0,"10","EGFL7"
0,7.37297004840926,0.732,0.007,0,"10","RAMP2"
0,3.12686306574023,0.833,0.111,0,"10","SPARC"
0,5.57796843365621,0.801,0.086,0,"10","ENG"
0,3.9795956990363,0.91,0.201,0,"10","IGFBP7"
0,5.10521152458047,0.76,0.052,0,"10","NPDC1"
0,7.06064648328064,0.716,0.011,0,"10","SOX18"
0,7.56757190638497,0.704,0.006,0,"10","ADGRL4"
0,8.06151570977095,0.695,0.004,0,"10","CLEC14A"
0,3.40493372663771,0.775,0.097,0,"10","IGFBP4"
0,4.71972346927245,0.724,0.054,0,"10","CD93"
0,6.80482874967101,0.675,0.007,0,"10","ECSCR"
0,7.152353806694,0.674,0.006,0,"10","CDH5"
0,6.71509388912768,0.688,0.02,0,"10","COL15A1"
0,4.07220553673815,0.772,0.107,0,"10","CRIP2"
0,4.04392288587313,0.775,0.113,0,"10","COL4A1"
0,7.0190356937748,0.67,0.009,0,"10","RAMP3"
0,3.48146122433856,0.816,0.162,0,"10","TCF4"
0,5.82592538493685,0.687,0.037,0,"10","FLT1"
0,6.41451788911246,0.659,0.009,0,"10","PCAT19"
0,3.90167432869979,0.758,0.109,0,"10","COL4A2"
0,5.24355647825024,0.675,0.037,0,"10","CALCRL"
0,6.33765751993209,0.646,0.013,0,"10","ESAM"
0,6.87589931521697,0.637,0.007,0,"10","CD34"
0,4.62040129285399,0.697,0.068,0,"10","ARHGAP29"
0,2.11437274071135,0.68,0.057,0,"10","RNASE1"
0,8.16342959824811,0.616,0.003,0,"10","EMCN"
0,7.12741995292766,0.621,0.008,0,"10","PCDH17"
0,4.34616830041121,0.697,0.091,0,"10","TM4SF1"
0,6.84362146516607,0.613,0.008,0,"10","PTPRB"
0,3.54284182549953,0.761,0.162,0,"10","EPAS1"
0,5.31182763524607,0.657,0.059,0,"10","HYAL2"
0,4.00926031934818,0.663,0.076,0,"10","PALMD"
0,3.49606847984339,0.713,0.127,0,"10","EMP1"
0,6.11145920887756,0.589,0.007,0,"10","CLDN5"
0,5.36181726302402,0.639,0.059,0,"10","VWA1"
0,6.74541886248475,0.598,0.025,0,"10","PODXL"
0,3.27292596996203,0.747,0.176,0,"10","SPTBN1"
0,7.69877263632099,0.574,0.004,0,"10","KDR"
0,5.23098952750424,0.627,0.068,0,"10","SLC9A3R2"
0,3.91903586665359,0.636,0.08,0,"10","NFIB"
0,5.27202690192854,0.583,0.028,0,"10","ACVRL1"
