"cluster","sample_id","cell_number","percent_within_cluster"
"0","scB8",2330,18.94
"0","scB7",2208,17.95
"0","scB5",1636,13.3
"0","scB9",1456,11.84
"0","scB10",1318,10.72
"0","OSCC",926,7.53
"0","scB2",910,7.4
"0","scB1",853,6.94
"0","scB14",250,2.03
"0","scB15",216,1.76
"0","scB13",100,0.81
"0","scB12",96,0.78
"1","scB8",964,18.93
"1","scB1",937,18.4
"1","OSCC",815,16
"1","scB9",702,13.78
"1","scB10",494,9.7
"1","scB7",457,8.97
"1","scB2",343,6.73
"1","scB5",120,2.36
"1","scB14",81,1.59
"1","scB12",77,1.51
"1","scB13",57,1.12
"1","scB15",46,0.9
"2","scB13",1805,38.22
"2","scB1",635,13.44
"2","scB12",533,11.29
"2","scB8",402,8.51
"2","scB5",378,8
"2","scB7",316,6.69
"2","scB14",206,4.36
"2","scB9",134,2.84
"2","scB15",127,2.69
"2","OSCC",84,1.78
"2","scB2",82,1.74
"2","scB10",21,0.44
"3","scB12",1428,37.08
"3","scB1",824,21.4
"3","scB9",732,19.01
"3","scB10",283,7.35
"3","OSCC",222,5.76
"3","scB8",215,5.58
"3","scB5",67,1.74
"3","scB14",32,0.83
"3","scB13",15,0.39
"3","scB2",14,0.36
"3","scB15",10,0.26
"3","scB7",9,0.23
"4","scB8",3458,97.9
"4","scB5",15,0.42
"4","scB12",13,0.37
"4","scB14",11,0.31
"4","OSCC",9,0.25
"4","scB1",7,0.2
"4","scB15",7,0.2
"4","scB13",5,0.14
"4","scB10",3,0.08
"4","scB9",2,0.06
"4","scB2",1,0.03
"4","scB7",1,0.03
"5","scB8",854,26.04
"5","OSCC",598,18.23
"5","scB1",474,14.45
"5","scB10",379,11.55
"5","scB7",303,9.24
"5","scB2",193,5.88
"5","scB9",192,5.85
"5","scB5",123,3.75
"5","scB14",74,2.26
"5","scB12",45,1.37
"5","scB15",36,1.1
"5","scB13",9,0.27
"6","scB9",1134,43.33
"6","scB7",399,15.25
"6","scB8",263,10.05
"6","scB10",211,8.06
"6","scB2",206,7.87
"6","OSCC",177,6.76
"6","scB12",99,3.78
"6","scB14",65,2.48
"6","scB5",31,1.18
"6","scB1",20,0.76
"6","scB13",7,0.27
"6","scB15",5,0.19
"7","scB8",386,17.16
"7","OSCC",339,15.07
"7","scB9",331,14.72
"7","scB1",238,10.58
"7","scB12",231,10.27
"7","scB14",198,8.8
"7","scB10",156,6.94
"7","scB5",113,5.02
"7","scB7",106,4.71
"7","scB15",104,4.62
"7","scB13",24,1.07
"7","scB2",23,1.02
"8","scB8",462,27.71
"8","scB5",389,23.34
"8","scB7",202,12.12
"8","scB14",189,11.34
"8","scB1",136,8.16
"8","OSCC",123,7.38
"8","scB15",73,4.38
"8","scB2",35,2.1
"8","scB12",23,1.38
"8","scB9",22,1.32
"8","scB10",12,0.72
"8","scB13",1,0.06
"9","scB8",510,31.88
"9","OSCC",195,12.19
"9","scB12",162,10.12
"9","scB10",161,10.06
"9","scB1",160,10
"9","scB5",129,8.06
"9","scB14",74,4.62
"9","scB7",72,4.5
"9","scB9",60,3.75
"9","scB2",38,2.38
"9","scB15",38,2.38
"9","scB13",1,0.06
"10","scB14",303,19.07
"10","scB8",209,13.15
"10","scB7",194,12.21
"10","scB1",159,10.01
"10","scB9",156,9.82
"10","OSCC",149,9.38
"10","scB5",125,7.87
"10","scB15",125,7.87
"10","scB13",70,4.41
"10","scB2",56,3.52
"10","scB10",24,1.51
"10","scB12",19,1.2
"11","scB1",901,99.67
"11","OSCC",3,0.33
"12","scB2",292,36.59
"12","scB1",168,21.05
"12","scB8",77,9.65
"12","OSCC",62,7.77
"12","scB7",41,5.14
"12","scB13",39,4.89
"12","scB14",38,4.76
"12","scB5",25,3.13
"12","scB9",18,2.26
"12","scB10",16,2.01
"12","scB15",12,1.5
"12","scB12",10,1.25
"13","scB8",195,28.38
"13","OSCC",160,23.29
"13","scB9",109,15.87
"13","scB7",68,9.9
"13","scB10",47,6.84
"13","scB1",46,6.7
"13","scB2",30,4.37
"13","scB5",16,2.33
"13","scB14",11,1.6
"13","scB15",4,0.58
"13","scB12",1,0.15
"14","scB1",87,64.93
"14","scB8",27,20.15
"14","scB5",6,4.48
"14","scB2",4,2.99
"14","scB7",4,2.99
"14","scB9",3,2.24
"14","scB15",2,1.49
"14","scB13",1,0.75
"15","scB8",29,47.54
"15","scB1",13,21.31
"15","scB2",9,14.75
"15","scB7",4,6.56
"15","scB12",4,6.56
"15","scB5",2,3.28
