"marker_panel","gene"
"Epithelial","EPCAM"
"Epithelial","KRT8"
"Epithelial","KRT18"
"Epithelial","KRT19"
"Epithelial","KRT5"
"Epithelial","KRT14"
"Epithelial","KRT15"
"Epithelial","KRT17"
"Epithelial","KRT13"
"Epithelial","KRT16"
"Epithelial","TP63"
"Epithelial","SFN"
"Fibroblast","COL1A1"
"Fibroblast","COL1A2"
"Fibroblast","COL3A1"
"Fibroblast","DCN"
"Fibroblast","LUM"
"Fibroblast","COL6A1"
"Fibroblast","C7"
"Fibroblast","COL5A1"
"Fibroblast","COL5A2"
"Endothelial","PECAM1"
"Endothelial","VWF"
"Endothelial","KDR"
"Endothelial","EMCN"
"Endothelial","RAMP2"
"Endothelial","CLDN5"
"Endothelial","ENG"
"Pericyte_Mural","RGS5"
"Pericyte_Mural","CSPG4"
"Pericyte_Mural","PDGFRB"
"Pericyte_Mural","MCAM"
"Pericyte_Mural","NOTCH3"
"Pericyte_Mural","ACTA2"
"Pericyte_Mural","TAGLN"
"Pericyte_Mural","MYH11"
"Pericyte_Mural","DES"
"T_cell","CD3D"
"T_cell","CD3E"
"T_cell","TRAC"
"T_cell","CD247"
"T_cell","IL7R"
"T_cell","LTB"
"NK_cell","NKG7"
"NK_cell","GNLY"
"NK_cell","PRF1"
"NK_cell","GZMB"
"NK_cell","KLRD1"
"NK_cell","FCGR3A"
"B_cell","MS4A1"
"B_cell","CD79A"
"B_cell","CD79B"
"B_cell","CD37"
"B_cell","CD74"
"B_cell","HLA-DRA"
"Plasma_cell","MZB1"
"Plasma_cell","JCHAIN"
"Plasma_cell","SDC1"
"Plasma_cell","IGKC"
"Plasma_cell","IGHG1"
"Plasma_cell","DERL3"
"Myeloid_Macrophage","LST1"
"Myeloid_Macrophage","TYROBP"
"Myeloid_Macrophage","FCER1G"
"Myeloid_Macrophage","C1QA"
"Myeloid_Macrophage","C1QB"
"Myeloid_Macrophage","C1QC"
"Myeloid_Macrophage","APOE"
"Myeloid_Macrophage","CD68"
"Myeloid_Macrophage","CD163"
"Dendritic_cell","FCER1A"
"Dendritic_cell","CD1C"
"Dendritic_cell","CLEC10A"
"Dendritic_cell","CLEC9A"
"Dendritic_cell","FLT3"
"Mast_cell","TPSAB1"
"Mast_cell","TPSB2"
"Mast_cell","KIT"
"Mast_cell","CPA3"
"Mast_cell","MS4A2"
