"cluster","cell_number","median_nFeature_RNA","median_nCount_RNA","median_percent_mt","manual_celltype","annotation_confidence","annotation_evidence","annotation_note"
"0",12299,999,2054,6.97793740379682,"","","",""
"1",5093,1779,4861,6.3762419478109,"","","",""
"2",4723,478,1024,4.48484848484848,"","","",""
"3",3851,554,922,2.86783042394015,"","","",""
"4",3532,518,1005.5,7.33745877655743,"","","",""
"5",3280,1642,3584,6.65883753330865,"","","",""
"6",2617,4822,28553,9.3942933422326,"","","",""
"7",2249,2724,7862,6.88288616589988,"","","",""
"8",1667,1205,2949,8.11990686845169,"","","",""
"9",1600,763,3855,3.77884961755886,"","","",""
"10",1589,2309,5704,7.86447000310849,"","","",""
"11",904,6437,45226,5.9358784246425,"","","",""
"12",798,1590,4156,7.90691975487456,"","","",""
"13",687,2206,6485,4.37278525868179,"","","",""
"14",134,3713.5,11265,6.98405919493263,"","","",""
"15",61,718,1532,12.5812167749557,"","","",""
