"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,8.97502535682886,0.13,0,0,"10","TACR1"
0,8.58261630494753,0.422,0.004,0,"10","ACKR1"
0,8.57832142058338,0.388,0.003,0,"10","CCL14"
0,8.4256477478656,0.284,0.001,0,"10","FAM110D"
0,8.16342959824811,0.616,0.003,0,"10","EMCN"
0,8.06151570977095,0.695,0.004,0,"10","CLEC14A"
0,7.91836163339995,0.435,0.006,0,"10","SELE"
0,7.90914820057014,0.779,0.013,0,"10","VWF"
0,7.72430661722387,0.408,0.002,0,"10","TEK"
0,7.70741484318616,0.108,0.001,0,"10","CRTAC1"
0,7.69877263632099,0.574,0.004,0,"10","KDR"
0,7.64120871005648,0.767,0.012,0,"10","PLVAP"
0,7.62463655747144,0.535,0.008,0,"10","SLCO2A1"
0,7.56757190638497,0.704,0.006,0,"10","ADGRL4"
0,7.49989258169427,0.349,0.001,0,"10","SOX17"
0,7.47557903425064,0.358,0.002,0,"10","ARHGEF15"
0,7.39687807120233,0.385,0.003,0,"10","THSD7A"
0,7.37297004840926,0.732,0.007,0,"10","RAMP2"
0,7.27502815381033,0.765,0.022,0,"10","AQP1"
0,7.26190141922886,0.43,0.003,0,"10","APLNR"
0,7.152353806694,0.674,0.006,0,"10","CDH5"
0,7.15144877342434,0.293,0.002,0,"10","EXOC3L2"
0,7.14726279905655,0.13,0.001,0,"10","MYRIP"
0,7.12741995292766,0.621,0.008,0,"10","PCDH17"
0,7.11894623341462,0.313,0.003,0,"10","SELP"
0,7.08981534467562,0.504,0.005,0,"10","PREX2"
0,7.07181469308556,0.164,0.001,0,"10","RAB3C"
0,7.06064648328064,0.716,0.011,0,"10","SOX18"
0,7.05312994357495,0.252,0.002,0,"10","NPR1"
0,7.0190356937748,0.67,0.009,0,"10","RAMP3"
0,5.10300214452007,0.287,0.018,0,"0","GZMK"
0,4.74439646282686,0.229,0.018,0,"0","KLRK1"
0,4.4353500057752,0.2,0.021,0,"0","GZMH"
0,4.42757266751682,0.192,0.022,0,"0","KLRD1"
0,4.28977409128407,0.167,0.017,0,"0","SAMD3"
0,4.27742188636076,0.271,0.026,0,"0","CD8A"
0,4.25915449842718,0.139,0.014,0,"0","CD8B"
0,4.23221164547225,0.144,0.02,0,"0","CRTAM"
0,4.23009522216781,0.252,0.027,0,"0","GZMM"
0,4.18044107971658,0.185,0.02,0,"0","TRAT1"
0,4.12755759491876,0.12,0.013,0,"0","THEMIS"
0,4.06445027784512,0.417,0.063,0,"0","NKG7"
0,4.05181388009328,0.164,0.022,0,"0","TRGC2"
0,4.04406791954722,0.143,0.016,0,"0","KLRB1"
0,4.03422219148065,0.153,0.016,0,"0","LINC02446"
