"cluster","gene","cell_number","percent_expressed","mean_expression","median_expression"
"0","COL1A1",12299,3.81,0.0643690243596636,0
"1","COL1A1",5093,5.97,0.0745801204098182,0
"2","COL1A1",4723,6.67,0.138118318623621,0
"3","COL1A1",3851,16.1,0.396315360642215,0
"4","COL1A1",3532,5.38,0.116382602284726,0
"5","COL1A1",3280,6.19,0.0771905513518654,0
"6","COL1A1",2617,36.26,0.218092808508132,0
"7","COL1A1",2249,88.97,3.5184574879669,4.01826754264975
"8","COL1A1",1667,4.32,0.065389691850812,0
"9","COL1A1",1600,9,0.121519051117388,0
"10","COL1A1",1589,12.4,0.265093551516045,0
"11","COL1A1",904,54.2,0.185531844260657,0.130222965997772
"12","COL1A1",798,1.5,0.0240949200663475,0
"13","COL1A1",687,4.51,0.0480374743918074,0
"14","COL1A1",134,8.96,0.0529648154411173,0
"15","COL1A1",61,8.2,0.133333032256132,0
"0","EMP1",12299,2.21,0.0358051677668685,0
"1","EMP1",5093,12.94,0.159477837431216,0
"2","EMP1",4723,5.5,0.105102865309073,0
"3","EMP1",3851,4.73,0.0940336298218985,0
"4","EMP1",3532,1.33,0.0273326625992576,0
"5","EMP1",3280,2.01,0.0239456651729657,0
"6","EMP1",2617,61.86,0.436552565918428,0.298340472432167
"7","EMP1",2249,66.65,1.06791078476592,1.14235164761245
"8","EMP1",1667,1.14,0.017469279928981,0
"9","EMP1",1600,2.31,0.0285379806100569,0
"10","EMP1",1589,71.3,1.35703496321123,1.55222021522231
"11","EMP1",904,77.43,0.422329598066883,0.349847938275801
"12","EMP1",798,2.88,0.0251647198132692,0
"13","EMP1",687,3.93,0.0353796736223486,0
"14","EMP1",134,80.6,1.04853325813493,1.13625155437259
"15","EMP1",61,14.75,0.140292004045199,0
"0","MYH11",12299,1.9,0.0309522932767179,0
"1","MYH11",5093,4.52,0.0488192351509492,0
"2","MYH11",4723,0.44,0.00872671484884403,0
"3","MYH11",3851,0.08,0.0017590645625088,0
"4","MYH11",3532,0.34,0.00554235162857608,0
"5","MYH11",3280,3.29,0.0373287797093024,0
"6","MYH11",2617,4.43,0.0137309665152127,0
"7","MYH11",2249,12.81,0.264174296718915,0
"8","MYH11",1667,4.14,0.0619800928050699,0
"9","MYH11",1600,0.81,0.00782625115967761,0
"10","MYH11",1589,4.97,0.0388578328525494,0
"11","MYH11",904,4.09,0.00832644211486661,0
"12","MYH11",798,1.88,0.0211853881663227,0
"13","MYH11",687,1.75,0.0182578433845844,0
"14","MYH11",134,3.73,0.0165863515282615,0
"15","MYH11",61,0,0,0
"0","SASH1",12299,0.22,0.00367227962973163,0
"1","SASH1",5093,15.63,0.172581840340969,0
"2","SASH1",4723,1.31,0.0255606846758129,0
"3","SASH1",3851,0.29,0.00527117225513893,0
"4","SASH1",3532,1.02,0.0175755693287051,0
"5","SASH1",3280,0.24,0.00352759326470059,0
"6","SASH1",2617,22.81,0.0913333809959548,0
"7","SASH1",2249,30.77,0.264446529921207,0
"8","SASH1",1667,0.36,0.0068131050497718,0
"9","SASH1",1600,0.5,0.00590499557205996,0
"10","SASH1",1589,47.39,0.529547763537701,0
"11","SASH1",904,5.86,0.0124780267430172,0
"12","SASH1",798,0.38,0.00165701019765295,0
"13","SASH1",687,0.29,0.00458920355218036,0
"14","SASH1",134,67.91,0.622037036011956,0.615142283617154
"15","SASH1",61,18.03,0.173187648499451,0
