"state","gene"
"Basal_like","KRT5"
"Basal_like","KRT14"
"Basal_like","KRT15"
"Basal_like","KRT17"
"Basal_like","TP63"
"Differentiated_squamous","KRT4"
"Differentiated_squamous","KRT13"
"Differentiated_squamous","KRT16"
"Differentiated_squamous","IVL"
"Differentiated_squamous","SPRR1A"
"Differentiated_squamous","SPRR2A"
"Differentiated_squamous","DSG3"
"EMT_like","VIM"
"EMT_like","FN1"
"EMT_like","SNAI2"
"EMT_like","ZEB1"
"EMT_like","ITGA6"
"EMT_like","CD44"
"Cycling","MKI67"
"Cycling","TOP2A"
"Cycling","UBE2C"
"Cycling","TYMS"
"Cycling","HMGB2"
"Cycling","MCM5"
