"sample_id","malignant_status_diagnostic","cluster","cell_number","percent_within_cluster"
"scB13","Tumor_epithelial_candidate","2",1805,38.22
"scB1","Tumor_epithelial_candidate","2",635,13.44
"scB12","Tumor_epithelial_candidate","2",533,11.29
"scB8","Tumor_epithelial_candidate","2",402,8.51
"scB5","Tumor_epithelial_candidate","2",378,8
"scB7","Tumor_epithelial_candidate","2",316,6.69
"scB14","Tumor_epithelial_candidate","2",206,4.36
"scB9","Tumor_epithelial_candidate","2",134,2.84
"scB15","Tumor_epithelial_candidate","2",127,2.69
"OSCC","Tumor_epithelial_candidate","2",84,1.78
"scB2","Tumor_epithelial_candidate","2",82,1.74
"scB10","Tumor_epithelial_candidate","2",21,0.44
"scB12","Tumor_epithelial_candidate","3",1428,37.08
"scB1","Tumor_epithelial_candidate","3",824,21.4
"scB9","Tumor_epithelial_candidate","3",732,19.01
"scB10","Tumor_epithelial_candidate","3",283,7.35
"OSCC","Tumor_epithelial_candidate","3",222,5.76
"scB8","Tumor_epithelial_candidate","3",215,5.58
"scB5","Tumor_epithelial_candidate","3",67,1.74
"scB14","Tumor_epithelial_candidate","3",32,0.83
"scB13","Tumor_epithelial_candidate","3",15,0.39
"scB2","Tumor_epithelial_candidate","3",14,0.36
"scB15","Tumor_epithelial_candidate","3",10,0.26
"scB7","Tumor_epithelial_candidate","3",9,0.23
"scB8","Tumor_epithelial_candidate","4",3458,97.9
"scB5","Tumor_epithelial_candidate","4",15,0.42
"scB12","Tumor_epithelial_candidate","4",13,0.37
"scB14","Tumor_epithelial_candidate","4",11,0.31
"OSCC","Tumor_epithelial_candidate","4",9,0.25
"scB1","Tumor_epithelial_candidate","4",7,0.2
"scB15","Tumor_epithelial_candidate","4",7,0.2
"scB13","Tumor_epithelial_candidate","4",5,0.14
"scB10","Tumor_epithelial_candidate","4",3,0.08
"scB9","Tumor_epithelial_candidate","4",2,0.06
"scB2","Tumor_epithelial_candidate","4",1,0.03
"scB7","Tumor_epithelial_candidate","4",1,0.03
"scB9","Tumor_epithelial_candidate","6",1134,43.33
"scB7","Tumor_epithelial_candidate","6",399,15.25
"scB8","Tumor_epithelial_candidate","6",263,10.05
"scB10","Tumor_epithelial_candidate","6",211,8.06
"scB2","Tumor_epithelial_candidate","6",206,7.87
"OSCC","Tumor_epithelial_candidate","6",177,6.76
"scB12","Tumor_epithelial_candidate","6",99,3.78
"scB14","Tumor_epithelial_candidate","6",65,2.48
"scB5","Tumor_epithelial_candidate","6",31,1.18
"scB1","Tumor_epithelial_candidate","6",20,0.76
"scB13","Tumor_epithelial_candidate","6",7,0.27
"scB15","Tumor_epithelial_candidate","6",5,0.19
"scB1","Tumor_epithelial_candidate","11",901,99.67
"OSCC","Tumor_epithelial_candidate","11",3,0.33
"scB8","Salivary_epithelial_reference","15",29,47.54
"scB1","Salivary_epithelial_reference","15",13,21.31
"scB2","Salivary_epithelial_reference","15",9,14.75
"scB7","Salivary_epithelial_reference","15",4,6.56
"scB12","Salivary_epithelial_reference","15",4,6.56
"scB5","Salivary_epithelial_reference","15",2,3.28
