"sample_id","malignant_status_diagnostic","gene","cell_number","percent_expressed","mean_expression","median_expression"
"OSCC","Tumor_epithelial_candidate","COL1A1",495,16.16,0.132403718871807,0
"OSCC","Tumor_epithelial_candidate","EMP1",495,26.06,0.249952068673004,0
"OSCC","Tumor_epithelial_candidate","MYH11",495,1.21,0.00242548744688576,0
"OSCC","Tumor_epithelial_candidate","SASH1",495,1.41,0.0136362353599776,0
"scB1","Tumor_epithelial_candidate","COL1A1",2387,25.64,0.13722206944443,0
"scB1","Tumor_epithelial_candidate","EMP1",2387,33.68,0.215247198756286,0
"scB1","Tumor_epithelial_candidate","MYH11",2387,1.72,0.00528490702174675,0
"scB1","Tumor_epithelial_candidate","SASH1",2387,3.1,0.0138221477242861,0
"scB1","Salivary_epithelial_reference","COL1A1",13,0,0,0
"scB1","Salivary_epithelial_reference","EMP1",13,0,0,0
"scB1","Salivary_epithelial_reference","MYH11",13,0,0,0
"scB1","Salivary_epithelial_reference","SASH1",13,0,0,0
"scB2","Tumor_epithelial_candidate","COL1A1",303,27.06,0.109260549179604,0
"scB2","Tumor_epithelial_candidate","EMP1",303,63.7,0.752205003528097,0.566956147082451
"scB2","Tumor_epithelial_candidate","MYH11",303,0.99,0.00243734004853215,0
"scB2","Tumor_epithelial_candidate","SASH1",303,28.38,0.130203473566121,0
"scB2","Salivary_epithelial_reference","COL1A1",9,0,0,0
"scB2","Salivary_epithelial_reference","EMP1",9,22.22,0.181671523568419,0
"scB2","Salivary_epithelial_reference","MYH11",9,0,0,0
"scB2","Salivary_epithelial_reference","SASH1",9,0,0,0
"scB5","Tumor_epithelial_candidate","COL1A1",491,1.83,0.0275374709451175,0
"scB5","Tumor_epithelial_candidate","EMP1",491,8.55,0.160537509033152,0
"scB5","Tumor_epithelial_candidate","MYH11",491,2.85,0.0657789963427656,0
"scB5","Tumor_epithelial_candidate","SASH1",491,3.05,0.0258897111578832,0
"scB5","Salivary_epithelial_reference","COL1A1",2,0,0,0
"scB5","Salivary_epithelial_reference","EMP1",2,0,0,0
"scB5","Salivary_epithelial_reference","MYH11",2,0,0,0
"scB5","Salivary_epithelial_reference","SASH1",2,0,0,0
"scB7","Tumor_epithelial_candidate","COL1A1",725,16.97,0.0959382426935662,0
"scB7","Tumor_epithelial_candidate","EMP1",725,34.9,0.28976863671985,0
"scB7","Tumor_epithelial_candidate","MYH11",725,1.1,0.00426928999437296,0
"scB7","Tumor_epithelial_candidate","SASH1",725,23.45,0.107514396554859,0
"scB7","Salivary_epithelial_reference","COL1A1",4,0,0,0
"scB7","Salivary_epithelial_reference","EMP1",4,25,0.735494796515603,0
"scB7","Salivary_epithelial_reference","MYH11",4,0,0,0
"scB7","Salivary_epithelial_reference","SASH1",4,25,0.649230497880606,0
"scB8","Tumor_epithelial_candidate","COL1A1",4338,6.96,0.135244571394787,0
"scB8","Tumor_epithelial_candidate","EMP1",4338,4.22,0.0504164449616066,0
"scB8","Tumor_epithelial_candidate","MYH11",4338,0.53,0.00608132726336947,0
"scB8","Tumor_epithelial_candidate","SASH1",4338,3.02,0.0267331132547095,0
"scB8","Salivary_epithelial_reference","COL1A1",29,10.34,0.113043019417684,0
"scB8","Salivary_epithelial_reference","EMP1",29,20.69,0.13726859822686,0
"scB8","Salivary_epithelial_reference","MYH11",29,0,0,0
"scB8","Salivary_epithelial_reference","SASH1",29,34.48,0.274742226446347,0
