"sample_id","total_cells","tumor_candidate_cells","known_normal_cells","CopyKAT_status","note"
"OSCC",3862,495,3367,"reused_existing_result","existing complete prediction reused"
"scB1",5658,2387,3271,"completed","success"
"scB10",3125,518,2607,"completed","success"
"scB12",2741,2073,668,"completed","success"
"scB13",2134,1832,302,"completed","success"
"scB14",1532,314,1218,"completed","success"
"scB15",805,149,656,"completed","success"
"scB2",2236,303,1933,"completed","success"
"scB5",3175,491,2684,"completed","success"
"scB7",4384,725,3659,"completed","success"
"scB8",10381,4338,6043,"completed","success"
"scB9",5051,2002,3049,"completed","success"
