"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.36892304476378e-15,2.0806931621597,0.177,0.057,3.6973242516025e-11,"0","FAM167A"
8.67800381052774e-08,1.9995594705714,0.107,0.041,0.00234384204918544,"0","LINC00839"
8.17482807947431e-11,1.94932718684979,0.143,0.052,2.20793931598522e-06,"0","ASPN"
3.02361184355716e-08,1.86501614821097,0.129,0.053,0.000816647322826353,"0","LINC00278"
3.99600724739807e-08,1.85872926596774,0.1,0.035,0.00107928159744974,"0","SLC6A20"
2.38374758663594e-27,1.84481185679354,0.332,0.114,6.438263856745e-23,"0","NPR3"
7.12071643622564e-27,1.73266253590669,0.387,0.154,1.92323430226018e-22,"0","SORBS2"
1.20093308170818e-15,1.73155838458608,0.186,0.061,3.24360016038562e-11,"0","LINC01518"
2.22135734636973e-06,1.70365506099949,0.107,0.046,0.0599966405681001,"0","AC009315.1"
4.74247382521991e-61,1.69610977310977,0.699,0.29,1.28089475545365e-56,"0","SLITRK6"
9.18051534226781e-07,1.69103078672139,0.11,0.046,0.0247956538879311,"0","PTCH1"
2.88779801410435e-12,1.68857925982544,0.177,0.068,7.79965365629445e-08,"0","AL035446.1"
6.1888592381379e-20,1.62130998567506,0.47,0.268,1.67154899162866e-15,"0","KBTBD7"
4.53252172429738e-23,1.57876356597415,0.444,0.227,1.22418879251548e-18,"0","AGR2"
4.49146132344013e-13,1.55834626015886,0.227,0.097,1.21309878884795e-08,"0","GDNF"
6.57499338958008e-22,1.53840430762217,0.363,0.156,1.77583996459168e-17,"0","TLL1"
2.43323877829267e-12,1.53669134737226,0.255,0.125,6.57193461629066e-08,"0","DLK2"
1.82425132664476e-24,1.53136316851767,0.401,0.174,4.92712040813484e-20,"0","CSAG1"
6.1664157654217e-11,1.51447369895338,0.16,0.061,1.66548723408275e-06,"0","KLHL4"
3.93381905968625e-26,1.50452259371671,0.422,0.186,1.06248518983066e-21,"0","FHAD1"
2.98190648509811e-24,3.44680473925895,0.119,0.014,8.0538312256015e-20,"1","FAM72C"
5.54066457304539e-132,2.89541499141091,0.714,0.142,1.49647809453383e-127,"1","CKAP2L"
1.41246162599861e-168,2.76340152792971,0.874,0.195,3.81491760565965e-164,"1","CDCA5"
8.32828386483472e-143,2.73310321820087,0.795,0.171,2.24938618905321e-138,"1","NUF2"
2.40140995155164e-19,2.71938150380691,0.115,0.018,6.48596813814583e-15,"1","ISL1"
1.1323020103901e-136,2.69415048892224,0.764,0.152,3.05823449986261e-132,"1","CDCA8"
5.23998191679123e-17,2.6542640635075,0.112,0.02,1.41526671590614e-12,"1","TERT"
8.09599019590589e-134,2.64599514699801,0.768,0.163,2.18664599201222e-129,"1","NDC80"
4.43054640572898e-122,2.57563452574846,0.721,0.155,1.19664627872334e-117,"1","MND1"
