"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.91326315061974e-48,7.4888947162814,0.156,0.004,7.86843244350886e-44,"scB2","DEFB4A"
4.42287762688002e-92,7.31662918976582,0.237,0,1.19457501824403e-87,"scB2","PSG4"
2.43384502672916e-96,6.67577306650374,0.266,0.002,6.57357203269279e-92,"scB2","LINC02055"
1.72386115678833e-216,6.47825728430669,0.711,0.022,4.65597659836961e-212,"scB2","MYH14"
3.4265741032031e-54,6.45712649439526,0.139,0,9.25483399534126e-50,"scB2","TCF15"
3.48001605356295e-67,6.28632682704929,0.185,0.001,9.39917535906817e-63,"scB2","AP005262.2"
1.36188856258345e-169,6.12074841656925,0.971,0.159,3.67832481868164e-165,"scB2","DEFB1"
7.1346804514257e-120,6.09794642614727,0.399,0.011,1.92700584312557e-115,"scB2","TCN1"
2.81846247827425e-54,5.50794393158818,0.168,0.003,7.61238530757093e-50,"scB2","CNN1"
5.94314626346042e-43,5.47287468717443,0.127,0.002,1.60518437429802e-38,"scB2","PDE9A"
8.7187468268803e-48,5.34891211804785,0.15,0.003,2.3548463304721e-43,"scB2","CHP2"
1.14861014609295e-73,5.2730667846132,0.214,0.002,3.10228114358246e-69,"scB2","SLC1A1"
2.69621690949383e-21,5.02900270259035,0.133,0.015,7.28221225085188e-17,"scB2","DHRS9"
1.89203436967106e-83,5.02456132838984,0.283,0.008,5.11019562904457e-79,"scB2","STRA6"
3.56194660469826e-39,4.99899082838603,0.127,0.003,9.62046158462952e-35,"scB2","DEFB126"
9.28043459983928e-63,4.97146516178677,0.191,0.003,2.50655258107059e-58,"scB2","TDRD5"
6.93102117719328e-56,4.90271698850626,0.191,0.005,1.87199950974813e-51,"scB2","U2AF1L5"
2.14168001400188e-42,4.81676847124775,0.185,0.011,5.78446354981768e-38,"scB2","MB"
2.12773850043932e-29,4.78647501617182,0.116,0.005,5.74680891583657e-25,"scB2","AC073476.3"
1.86845739448622e-45,4.78043809202404,0.145,0.003,5.04651657676784e-41,"scB2","SOX1"
3.34947489318128e-198,9.02862692731276,0.526,0.001,9.04659673899332e-194,"scB7","HLA-DQA2"
1.68757826439517e-99,8.56085406122487,0.337,0.013,4.5579801343049e-95,"scB7","MUCL1"
2.22338720032732e-111,8.12807932711454,0.309,0.001,6.00514648936406e-107,"scB7","FETUB"
4.65588237811559e-48,8.10471054806487,0.131,0,1.25750727150524e-43,"scB7","C6orf15"
6.41195033974916e-37,7.80451625916171,0.1,0,1.73180366726285e-32,"scB7","KRT2"
1.51400999956815e-50,7.11087448759646,0.137,0,4.08918960783363e-46,"scB7","CYP4Z1"
3.61095258272362e-128,7.00071591532247,0.512,0.041,9.75282183067823e-124,"scB7","UNC5B-AS1"
4.65588237811559e-48,6.7460595414067,0.131,0,1.25750727150524e-43,"scB7","AL033397.1"
4.17242042113904e-141,6.64996093843686,0.436,0.011,1.12692903154544e-136,"scB7","VNN3"
4.0080611016274e-35,6.50329585316794,0.103,0.001,1.08253722293854e-30,"scB7","FLG2"
3.63028466327342e-140,6.43614573738423,0.502,0.027,9.80503584703518e-136,"scB7","CHI3L2"
1.42304925362245e-182,6.37089932909563,0.942,0.212,3.84351372910888e-178,"scB7","PI3"
2.45359181688817e-48,6.32241746407438,0.151,0.003,6.62690613823326e-44,"scB7","HAL"
9.32789646465222e-43,6.21447920522056,0.12,0.001,2.51937155613792e-38,"scB7","ACER1"
9.43895113334329e-34,6.1841053855484,0.103,0.002,2.54936631160469e-29,"scB7","TGM3"
3.02697189874744e-50,6.1049628330775,0.141,0.001,8.17554840132695e-46,"scB7","HYAL4"
5.12372067647173e-66,6.05089850254043,0.192,0.002,1.38386571750825e-61,"scB7","AC083801.2"
2.85032165290561e-178,6.02483668073648,0.564,0.018,7.69843375233275e-174,"scB7","ALOX12B"
7.83309362221822e-45,5.99777588259745,0.158,0.006,2.11564025642492e-40,"scB7","CRNN"
2.06727217327357e-183,5.97567099596397,0.687,0.05,5.58349541279458e-179,"scB7","KLK13"
2.05478375241278e-266,12.5862528464857,0.679,0,5.54976543689169e-262,"scB8","CTAG2"
8.29692637466532e-277,12.3434652345687,0.703,0,2.24091684453336e-272,"scB8","MAGEA4"
8.88314315901879e-199,10.1610743501206,0.516,0,2.39924813581938e-194,"scB8","MAGEA10"
4.45868472095705e-207,10.0803719051675,0.537,0,1.20424615628329e-202,"scB8","MAGEA1"
1.58625211872441e-167,9.13335340283732,0.447,0.001,4.28430834746277e-163,"scB8","MAGEB2"
2.33427911506288e-79,9.11440367560667,0.211,0,6.30465446187334e-75,"scB8","TMEM132D-AS1"
2.42440169955025e-132,8.62406146418627,0.35,0,6.54806655031527e-128,"scB8","AP003900.1"
1.04491224437262e-119,8.59606093371501,0.317,0,2.822203480826e-115,"scB8","PRAME"
2.68240098505175e-96,8.47507188741972,0.256,0,7.24489682052628e-92,"scB8","SCN2A"
9.46992654576522e-95,8.33968576121505,0.252,0,2.55773246074573e-90,"scB8","MAGEA4-AS1"
2.55197209385938e-278,8.29203681466769,0.764,0.01,6.89262142830481e-274,"scB8","MGST1"
5.96387976646032e-101,8.24473263066166,0.268,0,1.61078428612327e-96,"scB8","AL445647.1"
7.3152414521959e-129,8.21892110100387,0.35,0.001,1.97577356382359e-124,"scB8","CACNA2D1"
2.83630054747681e-108,8.13468298170767,0.301,0.002,7.66056414868012e-104,"scB8","PURPL"
1.98193084513428e-113,7.90233775543509,0.301,0,5.35299701962318e-109,"scB8","LINC02617"
1.30716870893565e-86,7.81743022346864,0.24,0.001,3.5305319659643e-82,"scB8","AC107419.1"
4.91804156612349e-87,7.7484830307038,0.232,0,1.32831384659429e-82,"scB8","MAGEA9B"
2.00569828736951e-82,7.65906213749028,0.22,0,5.4171905043563e-78,"scB8","LINC00470"
4.03579685950939e-64,7.54621795084931,0.171,0,1.09002837378489e-59,"scB8","LINC01608"
1.01386040610652e-71,7.47977065794606,0.191,0,2.7383355708531e-67,"scB8","LDOC1"
8.20190607285979e-67,6.56916554234672,0.283,0,2.2152528112187e-62,"scB9","SLC30A8"
9.12769166819069e-95,6.08831015535807,0.39,0.003,2.46529824266162e-90,"scB9","ADCY10"
5.8888530305594e-71,6.07212882566522,0.303,0.002,1.59052031502379e-66,"scB9","AC108174.1"
7.79348950508128e-99,6.01389024242399,0.412,0.008,2.1049435804274e-94,"scB9","MSLN"
8.76128782931707e-75,6.00698181390481,0.318,0.002,2.36633622982025e-70,"scB9","HOXD-AS2"
1.71327317913354e-56,6.00649923970484,0.248,0.002,4.62737952952179e-52,"scB9","AC092490.1"
1.78177138216307e-47,5.87730897639539,0.207,0,4.81238632608424e-43,"scB9","EGFLAM"
