"sample_id","original_cluster","retained_cell_number","percent_within_sample"
"OSCC","3",1,1.05
"OSCC","6",93,97.89
"OSCC","11",1,1.05
"scB1","2",285,19.28
"scB1","3",290,19.62
"scB1","6",8,0.54
"scB1","11",895,60.55
"scB2","2",1,0.57
"scB2","6",173,99.43
"scB5","2",156,72.56
"scB5","3",27,12.56
"scB5","4",2,0.93
"scB5","6",30,13.95
"scB7","2",2,0.68
"scB7","6",290,99.32
"scB8","2",56,4.04
"scB8","3",39,2.81
"scB8","4",1045,75.4
"scB8","6",246,17.75
"scB9","2",1,0.1
"scB9","6",976,99.9
"scB10","3",30,13.16
"scB10","6",198,86.84
"scB12","2",2,2.56
"scB12","3",1,1.28
"scB12","6",75,96.15
"scB13","2",127,94.07
"scB13","3",1,0.74
"scB13","6",7,5.19
"scB14","6",35,100
"scB15","6",5,100
