"sample_id","malignant_state_cluster","malignant_state_label","gene","cell_number","percent_expressed","mean_log_normalized_expression"
"OSCC","2","Basal_epithelial","COL1A1",2,0,0
"OSCC","2","Basal_epithelial","EMP1",2,50,0.128657717267492
"OSCC","2","Basal_epithelial","MYH11",2,0,0
"OSCC","2","Basal_epithelial","SASH1",2,0,0
"OSCC","4","Basal_epithelial","COL1A1",1,0,0
"OSCC","4","Basal_epithelial","EMP1",1,100,2.23547642343045
"OSCC","4","Basal_epithelial","MYH11",1,0,0
"OSCC","4","Basal_epithelial","SASH1",1,0,0
"OSCC","6","Basal_epithelial","COL1A1",91,52.75,0.209946481955863
"OSCC","6","Basal_epithelial","EMP1",91,85.71,0.627384630043462
"OSCC","6","Basal_epithelial","MYH11",91,4.4,0.00672080633571608
"OSCC","6","Basal_epithelial","SASH1",91,0,0
"OSCC","7","Basal_epithelial","COL1A1",1,100,0.133835656799764
"OSCC","7","Basal_epithelial","EMP1",1,100,0.133835656799764
"OSCC","7","Basal_epithelial","MYH11",1,100,0.133835656799764
"OSCC","7","Basal_epithelial","SASH1",1,0,0
"scB1","1","Basal_epithelial","COL1A1",901,54.05,0.183139624808654
"scB1","1","Basal_epithelial","EMP1",901,77.25,0.418673136373627
"scB1","1","Basal_epithelial","MYH11",901,4,0.00816775138047739
"scB1","1","Basal_epithelial","SASH1",901,5.66,0.0121751659580363
"scB1","10","Basal_epithelial","COL1A1",17,11.76,0.0754675169270248
"scB1","10","Basal_epithelial","EMP1",17,17.65,0.153041994977571
"scB1","10","Basal_epithelial","MYH11",17,5.88,0.0500164922970949
"scB1","10","Basal_epithelial","SASH1",17,0,0
"scB1","3","Basal_epithelial","COL1A1",545,13.94,0.133812343149834
"scB1","3","Basal_epithelial","EMP1",545,10.28,0.0907698663704889
"scB1","3","Basal_epithelial","MYH11",545,0.37,0.00396617502633949
"scB1","3","Basal_epithelial","SASH1",545,0.73,0.00556035955546627
"scB1","4","Basal_epithelial","COL1A1",11,0,0
"scB1","4","Basal_epithelial","EMP1",11,27.27,0.400627060522583
"scB1","4","Basal_epithelial","MYH11",11,0,0
"scB1","4","Basal_epithelial","SASH1",11,9.09,0.0161907846517189
"scB1","6","Basal_epithelial","COL1A1",3,66.67,0.264461679463492
"scB1","6","Basal_epithelial","EMP1",3,100,0.608593761689887
"scB1","6","Basal_epithelial","MYH11",3,33.33,0.0559865593430968
"scB1","6","Basal_epithelial","SASH1",3,66.67,0.103437215832278
"scB1","9","Basal_epithelial","COL1A1",1,100,1.57597601928636
"scB1","9","Basal_epithelial","EMP1",1,100,0.541829126474214
"scB1","9","Basal_epithelial","MYH11",1,0,0
"scB1","9","Basal_epithelial","SASH1",1,100,0.21488246313334
"scB2","2","Basal_epithelial","COL1A1",5,40,0.0603073535933666
"scB2","2","Basal_epithelial","EMP1",5,40,0.118910161817326
"scB2","2","Basal_epithelial","MYH11",5,20,0.0301611922811743
"scB2","2","Basal_epithelial","SASH1",5,40,0.0695628962547197
"scB2","6","Basal_epithelial","COL1A1",2,50,0.107550270727735
"scB2","6","Basal_epithelial","EMP1",2,100,1.06613333938969
"scB2","6","Basal_epithelial","MYH11",2,0,0
"scB2","6","Basal_epithelial","SASH1",2,50,0.196011963232985
