"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.55541789997672,0.712,0.049,0,"0","CTAG2"
0,4.68217277613968,0.694,0.058,0,"0","MAGEA4"
2.5772030405052e-243,1.7046659769323,0.966,0.968,6.96076769210049e-239,"0","FTL"
2.02446469934961e-179,2.65304375171032,0.772,0.627,5.46787670647336e-175,"0","IGKC"
3.12882620564092e-162,1.48463524960602,0.751,0.356,8.45064669881555e-158,"0","SERPINB3"
3.87524463073824e-145,3.0916112387031,0.657,0.43,1.04666482231609e-140,"0","SNHG25"
7.00440400506153e-129,0.373295019471374,0.994,0.952,1.89181947772707e-124,"0","S100A9"
1.18812343827402e-104,2.68103598031896,0.409,0.144,3.2090025944343e-100,"0","SELENOP"
1.39845319073207e-104,0.695073593244019,0.989,0.984,3.77708222284825e-100,"0","FABP5"
5.83193708222315e-93,4.61660124780382,0.198,0.029,1.57514788653765e-88,"0","MAGEB2"
2.61286992912549e-92,5.07247358351734,0.158,0.015,7.05710039157504e-88,"0","TMEM132D-AS1"
2.033100364597e-85,3.99672206826554,0.206,0.037,5.49120077474003e-81,"0","MAGEA1"
1.78889398031244e-72,0.225018589904355,0.065,0.387,4.83162375142586e-68,"0","RCAN1"
2.51639113994178e-66,0.31586887168292,0.14,0.51,6.79652082986875e-62,"0","CKAP2"
5.46764661468587e-64,0.972480537443254,0.738,0.558,1.47675667416051e-59,"0","LY6D"
7.13696747170502e-58,2.39491137997998,0.274,0.099,1.92762354443281e-53,"0","MGST1"
5.67360214763761e-55,2.7719850505171,0.424,0.264,1.53238320405544e-50,"0","GSTM3"
1.12311082639285e-54,0.322568564397553,0.153,0.5,3.03341003100444e-50,"0","PGD"
8.54005004785347e-54,1.95077077051992,0.567,0.477,2.30658211742474e-49,"0","NEFL"
1.78094874720103e-52,1.03295490882676,0.8,0.788,4.81016447131528e-48,"0","CXCL14"
6.6531036628084e-52,0.671697449263181,0.121,0.431,1.79693676828792e-47,"0","PLSCR3"
4.37533544872686e-50,0.590333524106451,0.065,0.315,1.18173435134664e-45,"0","CCDC71L"
1.70499049283649e-49,0.285983819954312,0.198,0.562,4.60500882210208e-45,"0","CDKN2B"
7.05410102599003e-49,0.422654879489777,0.122,0.421,1.90524214610965e-44,"0","IFI30"
