"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.67203687175575e-25,5.60374706101929,0.245,0.143,4.51600438692511e-21,"0","IGLC1"
2.61286992912549e-92,5.07247358351734,0.158,0.015,7.05710039157504e-88,"0","TMEM132D-AS1"
0,4.68217277613968,0.694,0.058,0,"0","MAGEA4"
5.83193708222315e-93,4.61660124780382,0.198,0.029,1.57514788653765e-88,"0","MAGEB2"
0,4.55541789997672,0.712,0.049,0,"0","CTAG2"
2.033100364597e-85,3.99672206826554,0.206,0.037,5.49120077474003e-81,"0","MAGEA1"
4.87327419145909e-20,3.64498978728329,0.102,0.036,1.31622262637118e-15,"0","MAP9"
2.91955504400474e-13,3.59093478504974,0.313,0.275,7.8854262183524e-09,"0","IGHG4"
2.81627801129086e-34,3.54313679190175,0.123,0.033,7.60648528069549e-30,"0","MAGEA10"
2.12400194272993e-12,3.27393139573676,0.162,0.099,5.73671684711927e-08,"0","WDR72"
0.000725777382841733,3.21330584099204,0.158,0.138,1,"0","MAGEA6"
9.38746292413895e-13,3.14054458692482,0.167,0.103,2.53545986118069e-08,"0","CDC42EP5"
4.95443981523595e-33,3.13367492245528,0.264,0.14,1.33814464969708e-28,"0","AL354953.1"
3.87524463073824e-145,3.0916112387031,0.657,0.43,1.04666482231609e-140,"0","SNHG25"
1.18096132415716e-32,2.87099498554282,0.374,0.269,3.18965844041606e-28,"0","AKR1C3"
5.67360214763761e-55,2.7719850505171,0.424,0.264,1.53238320405544e-50,"0","GSTM3"
6.12779415126915e-15,2.73258418804218,0.171,0.098,1.65505592231628e-10,"0","LCP1"
1.18812343827402e-104,2.68103598031896,0.409,0.144,3.2090025944343e-100,"0","SELENOP"
2.70931676934883e-12,2.66509360385948,0.263,0.206,7.31759366233425e-08,"0","AKR1C2"
2.02446469934961e-179,2.65304375171032,0.772,0.627,5.46787670647336e-175,"0","IGKC"
5.2812447205605e-276,5.67034054929513,0.308,0.004,1.42641138657618e-271,"1","NTM"
4.38223148996571e-219,5.46515865919621,0.26,0.006,1.18359690312484e-214,"1","NID2"
0,5.18370243134735,0.657,0.018,0,"1","MEG3"
1.5054475889866e-297,5.07331195805372,0.32,0.002,4.06606339309391e-293,"1","NTNG1"
3.90599791736093e-305,5.03216732853865,0.341,0.005,1.05497097750001e-300,"1","PEG10"
0,4.54210291208959,0.719,0.022,0,"1","L1CAM"
0,3.70936669567679,0.878,0.094,0,"1","PALM2-AKAP2"
0,3.67085528490698,0.616,0.027,0,"1","PODXL"
1.63083430930143e-250,3.63818111337663,0.415,0.037,4.40472038599222e-246,"1","MEG8"
0,3.58700284910028,0.498,0.036,0,"1","TNNI2"
2.9950719080219e-270,3.39726681895466,0.396,0.026,8.08938971637636e-266,"1","TSPAN2"
0,3.27683024945545,0.91,0.245,0,"1","PTGS2"
2.55127928098994e-263,3.2147917019113,0.505,0.065,6.89075021002573e-259,"1","RMRP"
0,3.11798264805358,0.772,0.107,0,"1","OLFML2A"
0,3.06239647165709,0.859,0.104,0,"1","SYT8"
1.49010754836465e-271,3.04341161305645,0.484,0.051,4.02463147737809e-267,"1","LGALS9C"
0,2.91948658604078,0.842,0.128,0,"1","MSLN"
2.71393836436227e-299,2.86701959984599,0.567,0.07,7.33007612830604e-295,"1","GJB4"
7.07933638049997e-308,2.85705900622168,0.642,0.103,1.91205796300924e-303,"1","HEG1"
6.49601991423117e-258,2.85480235409565,0.574,0.097,1.7545100186347e-253,"1","SEMA3A"
1.53977905475826e-185,4.39160826429725,0.255,0.012,4.15878924899659e-181,"2","GDNF"
0,3.9707306595516,0.61,0.045,0,"2","SRPX"
0,3.84320252507343,0.926,0.13,0,"2","CXCL11"
0,3.60785151647047,0.626,0.068,0,"2","PRKY"
2.27426662971345e-272,3.37162552860301,0.405,0.026,6.14256674019305e-268,"2","CSAG1"
0,3.3284530509313,0.993,0.401,0,"2","MTRNR2L8"
0,3.30636599016717,0.677,0.083,0,"2","SLITRK6"
4.92592902495173e-117,3.15945401587957,0.257,0.035,1.33044417034921e-112,"2","CX3CL1"
0,3.14687356625653,0.894,0.182,0,"2","CXCL10"
5.96121640785042e-103,3.05431302320076,0.197,0.021,1.61006493959632e-98,"2","TFPI2"
0,3.00035185464892,0.971,0.158,0,"2","RPS4Y1"
1.93776770336363e-272,2.95250603644901,0.493,0.054,5.23371679001483e-268,"2","SEMA5A"
0,2.92952354564193,0.804,0.102,0,"2","EIF1AY"
1.82069731657496e-189,2.88560327155164,0.615,0.159,4.91752138233732e-185,"2","IFIT2"
1.60448740069459e-51,2.83149709784723,0.128,0.02,4.33356002053602e-47,"2","AC005899.8"
5.27272195662549e-150,2.73091668297332,0.366,0.062,1.42410947326498e-145,"2","IL18BP"
2.43873546813386e-279,2.69267173474044,0.709,0.161,6.58678062588273e-275,"2","NEXN"
9.68231578946741e-123,2.6775525083904,0.275,0.039,2.61509667157725e-118,"2","GMPR"
7.37691397707648e-187,2.67525093386795,0.674,0.235,1.99243069606859e-182,"2","MFAP5"
6.24885569839525e-307,2.64924414112558,0.634,0.09,1.68775343557957e-302,"2","DDX3Y"
2.47658180754066e-17,3.06727205740979,0.108,0.034,6.68899980398657e-13,"3","AC073210.3"
2.36291875116779e-79,3.0110480056497,0.618,0.339,6.38200725502909e-75,"3","NDUFA4L2"
9.52934121359239e-23,2.87275723188203,0.287,0.156,2.57377976837917e-18,"3","PICSAR"
1.77162843207384e-190,2.64227287993787,0.749,0.225,4.78499123218824e-186,"3","PRSS3"
3.46795899786202e-10,2.57578810414694,0.136,0.068,9.36661045732553e-06,"3","PPP1R3C"
4.66052199078812e-13,2.52238024830009,0.315,0.225,1.25876038449196e-08,"3","S100A12"
8.16068669996135e-06,2.27571498140839,0.124,0.076,0.220411987079256,"3","LINC00520"
1.8879021598287e-16,2.18550242267395,0.475,0.393,5.09903494348133e-12,"3","SPRR1B"
2.65821168940147e-67,2.18169944987789,0.627,0.396,7.17956395190442e-63,"3","CDA"
6.90119031176531e-08,2.14546150443391,0.31,0.265,0.00186394249130469,"3","HIST1H2BC"
2.34300787056997e-12,2.09901310115889,0.229,0.134,6.32822995762243e-08,"3","IVL"
8.0779678108852e-06,2.03410803595153,0.215,0.165,0.218177832604198,"3","TMPRSS13"
5.88267037468504e-09,2.00222226564855,0.233,0.161,0.000158885044149868,"3","AIF1L"
0.000770207943038865,1.96445114255022,0.116,0.081,1,"3","HES5"
4.07963191367376e-67,1.87262570661679,0.645,0.385,1.10186778356414e-62,"3","TPPP3"
2.19732361227018e-16,1.85752257328656,0.566,0.523,5.93475134438052e-12,"3","KRT6C"
2.27768664731545e-14,1.82233753900276,0.349,0.252,6.15180386573429e-10,"3","RPL39L"
6.40470781467324e-60,1.79462757472569,0.896,0.859,1.72984753366509e-55,"3","CSTA"
9.7311063497674e-21,1.7445401517885,0.319,0.181,2.62827451400868e-16,"3","IGFL1"
5.27685971779758e-17,1.66289896287985,0.423,0.318,1.42522704117995e-12,"3","EGLN3"
4.13641372535327e-16,4.61750845190415,0.111,0.036,1.11720398308066e-11,"4","TCHH"
6.80326778134163e-54,4.18477039822891,0.452,0.217,1.83749459506256e-49,"4","DAPL1"
7.77153240608757e-27,4.14136318685198,0.131,0.032,2.09901318756019e-22,"4","DCN"
1.23013202572692e-28,4.00671450058538,0.127,0.029,3.32246358828583e-24,"4","IGFBP5"
3.30297854891616e-39,3.68208112860082,0.363,0.171,8.92101476276765e-35,"4","LGALS7"
8.57409153442974e-14,3.60876999817921,0.119,0.044,2.31577638253413e-09,"4","SLURP1"
1.25755220211151e-28,3.52379994634834,0.214,0.073,3.39652274268297e-24,"4","SLURP2"
3.86331370881739e-31,3.27552939327158,0.129,0.027,1.04344239961449e-26,"4","SLC16A7"
1.16648513865709e-57,3.07138485214635,0.111,0.009,3.15055971099893e-53,"4","CHL1"
1.2417815096487e-17,3.03520971839537,0.117,0.036,3.35392767941018e-13,"4","SPRR3"
1.93225639735917e-19,2.95436710679745,0.177,0.068,5.21883130362738e-15,"4","BMP7"
8.53639280206996e-10,2.90307185396176,0.101,0.042,2.30559433191108e-05,"4","KLK12"
7.97281670475603e-10,2.88139950449966,0.192,0.111,2.15337806378756e-05,"4","LSP1"
4.18973125163614e-07,2.84512720156686,0.127,0.07,0.011316045137544,"4","NTRK2"
1.99091349534836e-08,2.83406506878588,0.192,0.116,0.000537725825958638,"4","FOXQ1"
6.15858952745781e-08,2.79322302119497,0.204,0.128,0.00166337344547108,"4","FAM25A"
1.1924031895192e-31,2.7076209995675,0.411,0.23,3.22056177457241e-27,"4","ALDH3A1"
9.11946712496927e-14,2.66125779806624,0.385,0.294,2.46307687578295e-09,"4","GBP6"
5.52464024390061e-21,2.65650340965972,0.159,0.053,1.49215008347512e-16,"4","ADH7"
2.32936650657813e-36,2.65466048458356,0.147,0.03,6.29138599761688e-32,"4","SFRP1"
1.24435256651754e-109,9.31948882600248,0.104,0,3.36087184690721e-105,"5","C6orf15"
0,8.55389641993806,0.4,0.002,0,"5","HLA-DQA2"
0,8.3611596653696,0.36,0.002,0,"5","VNN3"
1.24435256651754e-109,8.30287142913083,0.104,0,3.36087184690721e-105,"5","CYP4Z1"
8.55306453824725e-104,7.71342524331762,0.101,0,2.3100972011352e-99,"5","AL033397.1"
1.19430881630993e-240,7.35082365718819,0.24,0.001,3.22570868197148e-236,"5","FETUB"
3.2929543758874e-218,7.00866764126724,0.245,0.003,8.89394047383427e-214,"5","SPTSSB"
1.59945033023404e-104,6.81568727185719,0.117,0.001,4.31995539692911e-100,"5","SLC34A3"
4.14767613222411e-93,6.28306848209083,0.115,0.002,1.12024584655241e-88,"5","HAL"
0,6.25798215529052,0.723,0.057,0,"5","LCN2"
4.81175570432607e-161,6.21775385979368,0.277,0.015,1.29960709818143e-156,"5","MUCL1"
2.09928550277236e-154,5.86747937887098,0.203,0.005,5.66996021443786e-150,"5","AL121761.1"
5.46357879106882e-211,5.81769382528102,0.261,0.006,1.47565799567978e-206,"5","CYP4B1"
4.81425591536148e-150,5.66234190493537,0.205,0.006,1.30028238017998e-145,"5","CHI3L1"
0,5.64093622060329,0.589,0.029,0,"5","KLK13"
3.78634537078628e-104,5.5995587070833,0.149,0.005,1.02265402119567e-99,"5","SLC15A1"
4.432836024991e-318,5.40531169083058,0.709,0.071,1.19726468198982e-313,"5","KRT13"
1.25983770720286e-86,5.3677929645906,0.112,0.003,3.40269566338419e-82,"5","SERPINB11"
0,5.36635145457246,0.453,0.015,0,"5","MUC15"
1.63427817655263e-164,5.33216468599708,0.232,0.008,4.41402192705098e-160,"5","AC019349.1"
1.14028253540185e-168,5.72227382536358,0.337,0.023,3.07978909986684e-164,"6","HAS2"
1.42361836042659e-315,4.98294775650296,0.534,0.028,3.84505082967616e-311,"6","OLR1"
2.06779351159814e-174,4.6939630740822,0.263,0.01,5.58490349547543e-170,"6","NEURL1"
2.13831299284883e-203,4.44513819108632,0.377,0.023,5.77536956238541e-199,"6","KCTD14"
4.68698930981252e-240,4.44111015293191,0.343,0.011,1.26590894268726e-235,"6","TMEM52B"
2.75199518379676e-182,4.13036936320842,0.354,0.023,7.43286379191667e-178,"6","S1PR3"
9.63597450845574e-232,4.12676628571511,0.477,0.035,2.60258035498881e-227,"6","TGM2"
5.34701086728929e-154,4.00117835670197,0.66,0.139,1.44417416514616e-149,"6","FN1"
7.10393588593522e-78,3.91149750618255,0.166,0.012,1.91870204343224e-73,"6","DIO3"
3.58365778087756e-72,3.83350976608249,0.329,0.062,9.67910130037221e-68,"6","CSF2"
1.83362925509377e-100,3.78131451307954,0.414,0.075,4.95244925508275e-96,"6","CCL2"
1.75252493882784e-225,3.66946302614995,0.734,0.117,4.73339460728011e-221,"6","AXL"
8.51644162038009e-41,3.64750082719316,0.1,0.009,2.30020571724846e-36,"6","AKAP12"
3.37585337442027e-124,3.51646722188131,0.354,0.04,9.11784237897169e-120,"6","GNLY"
5.46165770979963e-87,3.49259732772793,0.374,0.067,1.47513913083978e-82,"6","IL6"
6.89737466671919e-115,3.4463310564354,0.171,0.006,1.86291192373419e-110,"6","P3H3"
7.49627485229584e-68,3.29348489049306,0.191,0.021,2.02466887485658e-63,"6","NLRP3"
8.12540198793541e-95,3.29164723870938,0.294,0.036,2.19458982292148e-90,"6","ZNF114"
2.8561637272556e-217,3.25718947358623,0.537,0.052,7.71421261094464e-213,"6","FBN2"
1.38300790939173e-51,3.22803344630275,0.434,0.138,3.73536606247613e-47,"6","CCL3"
0,6.35370909065283,0.727,0.011,0,"7","MYH14"
9.00051954067411e-69,6.27074666532834,0.157,0.007,2.43095032274067e-64,"7","DHRS9"
3.00496346417537e-228,6.23710236093619,0.291,0.004,8.11610582039125e-224,"7","STRA6"
1.19970608408527e-53,6.14667934026833,0.122,0.006,3.24028616250591e-49,"7","CEACAM5"
2.31207839797272e-72,5.93051159249178,0.116,0.003,6.24469254508452e-68,"7","AC073476.3"
1.28779823048102e-20,5.54512644481654,0.116,0.016,3.47821424070619e-16,"7","SLC6A14"
7.36449410429513e-66,5.5084821816533,0.116,0.003,1.98907621262907e-61,"7","SCNN1G"
3.26135078535845e-96,5.24664165403577,0.134,0.002,8.80858233617463e-92,"7","PALM"
8.33083315802515e-71,5.24068572910112,0.122,0.003,2.25007472765101e-66,"7","OR5AU1"
9.83820643405928e-250,5.17447671920274,0.988,0.126,2.65720117577507e-245,"7","DEFB1"
9.44026414508783e-76,5.13055676103485,0.14,0.004,2.54972094294677e-71,"7","LINC00654"
2.63267907019771e-35,5.10780409696582,0.116,0.009,7.11060290069699e-31,"7","SPRR2F"
9.21232408098225e-59,4.86024896514817,0.14,0.007,2.4881566110325e-54,"7","C5AR2"
1.11060883933422e-144,4.85407205862323,0.279,0.01,2.99964341415779e-140,"7","C20orf204"
6.07228109438982e-96,4.74013359486386,0.221,0.01,1.64006240078375e-91,"7","SCNN1B"
2.40018197018889e-256,4.64302131923984,0.651,0.037,6.48265148328316e-252,"7","KLHDC7B"
8.64657725827575e-137,4.56851588894685,0.209,0.004,2.3353540516877e-132,"7","SLC1A1"
2.09448928705327e-60,4.56592068262167,0.116,0.004,5.65700611540219e-56,"7","FAM189A2"
1.97817090352704e-110,4.4383498269733,0.343,0.025,5.34284179333618e-106,"7","AP006623.1"
1.86590754774048e-204,4.4217101902991,0.413,0.016,5.03962969569227e-200,"7","TCN1"
8.91864011309453e-225,9.18253455243609,0.212,0,2.4088355081457e-220,"8","LINC01297"
0,7.69216886121618,0.512,0.002,0,"8","AP003900.1"
1.27776949887967e-221,6.5162912735191,0.238,0.001,3.4511276395241e-217,"8","LINC01608"
4.25590755929055e-288,4.86593720100671,0.369,0.004,1.14947807268879e-283,"8","SCN2A"
1.9425739467282e-169,4.15439268574711,0.438,0.023,5.24669797271819e-165,"8","NLGN4X"
2.11276978007229e-34,4.12724501347873,0.1,0.006,5.70637989899724e-30,"8","ITIH5"
2.94642526347975e-241,4.02997302799892,0.794,0.063,7.95799999413244e-237,"8","FBN2"
9.31431363201552e-205,3.95529984216256,0.562,0.033,2.51570296887107e-200,"8","PLAGL1"
3.2125472232067e-200,3.9053625032156,0.787,0.079,8.67676879515897e-196,"8","LUM"
9.74087609836692e-107,3.69346977310253,0.375,0.03,2.63091322540792e-102,"8","TREM1"
8.1249986878052e-149,3.6637693098891,0.338,0.015,2.1944808955893e-144,"8","LINC02582"
1.18069959250439e-54,3.56066144228202,0.162,0.01,3.18895152939511e-50,"8","VCAN"
1.35078799688135e-106,3.50042329488399,0.494,0.056,3.64834330077683e-102,"8","LINC02434"
2.46829692767521e-91,3.41476535465895,0.394,0.04,6.66662317195797e-87,"8","LCAL1"
1.48613933536363e-105,3.37809617133935,0.562,0.075,4.01391373088363e-101,"8","GLDC"
3.97224416208941e-82,3.33027840191256,0.644,0.134,1.07286342573873e-77,"8","MIR99AHG"
8.47452472363e-46,3.29815973370877,0.156,0.012,2.28888438260523e-41,"8","AC136616.1"
2.8534772965394e-51,3.21659667455518,0.212,0.02,7.70695683022327e-47,"8","ELOVL4"
4.39740101022494e-76,3.18886003916333,0.306,0.028,1.18769403885165e-71,"8","SLC16A7"
3.99125243120289e-113,3.17299942471334,0.781,0.145,1.07799736914359e-108,"8","AL354953.1"
3.18908460058564e-262,6.22194108137995,0.798,0.034,8.61339859772174e-258,"9","AEBP1"
3.83783540529373e-14,6.11249178252162,0.112,0.014,1.03656096461578e-09,"9","MMP11"
1.72823160630021e-150,6.06228452687303,0.596,0.034,4.66778074545623e-146,"9","KRT19"
2.85611753897959e-314,5.725510121778,0.674,0.016,7.71408786102998e-310,"9","CADM1"
1.10570012916638e-55,5.68102758358406,0.483,0.063,2.98638547886548e-51,"9","AMTN"
