"malignant_state_cluster","cell_number","Cycling_score","Cancer_testis_score","Squamous_differentiation_score","Basal_epithelial_score","dominant_state","dominant_state_score"
"0",1046,0.155565458174795,0.469029236875347,0.185511611329148,1.82684017514677,"Basal_epithelial",1.82684017514677
"1",903,0.39815819704426,0.0184749665406419,0.229757856483692,2.29584734656719,"Basal_epithelial",2.29584734656719
"2",852,0.416051878735785,0.0199784625311653,0.173958271637438,1.93611093485268,"Basal_epithelial",1.93611093485268
"3",558,0.228588802486531,0.0154276595916037,0.610230870689726,2.27280455667359,"Basal_epithelial",2.27280455667359
"4",496,0.125919998183074,0.0226985905977786,0.736311177301516,2.16933520283158,"Basal_epithelial",2.16933520283158
"5",375,0.0212009779812887,0.00643286610347451,1.31720734751367,1.83334239647882,"Basal_epithelial",1.83334239647882
"6",350,0.442383543988561,0.00427822651984293,0.103477779903943,1.84216433219035,"Basal_epithelial",1.84216433219035
"7",172,0.0194289794130191,0,1.12234370272623,2.46328687669159,"Basal_epithelial",2.46328687669159
"8",160,0.337072987659838,0.572943006142542,0.139643184678946,2.02755809695923,"Basal_epithelial",2.02755809695923
"9",89,0.118898268669636,0.00413923296551299,0.250637556483687,2.18043288893929,"Basal_epithelial",2.18043288893929
"10",66,0.166825467129216,0.241992641658394,0.294859364733282,1.71451230922567,"Basal_epithelial",1.71451230922567
"11",31,0.885229811903782,0.0133127339545796,0.19576942586415,2.00896852321341,"Basal_epithelial",2.00896852321341
