"internal_cluster","review_decision","rationale"
"0","Retain_epithelial_core","Cancer-testis antigen-like epithelial program."
"1","Retain_epithelial_core","Epithelial malignant state retained for downstream comparison."
"2","Retain_epithelial_core","Interferon/chemokine-like epithelial state retained."
"3","Retain_epithelial_core","Squamous differentiation/keratinization-like epithelial state retained."
"4","Retain_epithelial_core","Epithelial malignant state retained for downstream comparison."
"5","Retain_epithelial_core","Differentiated or secretory-like epithelial state retained."
"6","Exclude_lineage_ambiguous","Mixed/lineage-ambiguous immune-associated signal."
"7","Retain_epithelial_core","Differentiated or secretory-like epithelial state retained."
"8","Exclude_stromal_or_myeloid_like","Stromal or myeloid-associated marker signal."
"9","Exclude_CAF_stromal_like","CAF/stromal-associated marker signal."
"10","Exclude_T_cell_like","T-cell-associated marker signal."
"11","Exclude_macrophage_like","Macrophage-associated marker signal."
