"sample_id","cluster","celltype_manual","total_candidate_cells","aneuploid_cells","aneuploid_percent"
"OSCC","2","Differentiated_epithelial_tumor_candidate",84,0,0
"OSCC","3","Cycling_epithelial_tumor_candidate",222,1,0.45
"OSCC","4","Cancer_testis_epithelial_tumor_candidate",9,0,0
"OSCC","6","Epithelial_tumor_candidate",177,93,52.54
"OSCC","11","Epithelial_tumor_candidate",3,1,33.33
"scB1","2","Differentiated_epithelial_tumor_candidate",635,285,44.88
"scB1","3","Cycling_epithelial_tumor_candidate",824,290,35.19
"scB1","4","Cancer_testis_epithelial_tumor_candidate",7,0,0
"scB1","6","Epithelial_tumor_candidate",20,8,40
"scB1","11","Epithelial_tumor_candidate",901,895,99.33
"scB2","2","Differentiated_epithelial_tumor_candidate",82,1,1.22
"scB2","3","Cycling_epithelial_tumor_candidate",14,0,0
"scB2","4","Cancer_testis_epithelial_tumor_candidate",1,0,0
"scB2","6","Epithelial_tumor_candidate",206,173,83.98
"scB5","2","Differentiated_epithelial_tumor_candidate",378,156,41.27
"scB5","3","Cycling_epithelial_tumor_candidate",67,27,40.3
"scB5","4","Cancer_testis_epithelial_tumor_candidate",15,2,13.33
"scB5","6","Epithelial_tumor_candidate",31,30,96.77
"scB7","2","Differentiated_epithelial_tumor_candidate",316,2,0.63
"scB7","3","Cycling_epithelial_tumor_candidate",9,0,0
"scB7","4","Cancer_testis_epithelial_tumor_candidate",1,0,0
"scB7","6","Epithelial_tumor_candidate",399,291,72.93
"scB8","2","Differentiated_epithelial_tumor_candidate",402,56,13.93
"scB8","3","Cycling_epithelial_tumor_candidate",215,40,18.6
"scB8","4","Cancer_testis_epithelial_tumor_candidate",3458,1045,30.22
"scB8","6","Epithelial_tumor_candidate",263,246,93.54
"scB9","2","Differentiated_epithelial_tumor_candidate",134,1,0.75
"scB9","3","Cycling_epithelial_tumor_candidate",732,0,0
"scB9","4","Cancer_testis_epithelial_tumor_candidate",2,0,0
"scB9","6","Epithelial_tumor_candidate",1134,976,86.07
"scB10","2","Differentiated_epithelial_tumor_candidate",21,0,0
"scB10","3","Cycling_epithelial_tumor_candidate",283,30,10.6
"scB10","4","Cancer_testis_epithelial_tumor_candidate",3,0,0
"scB10","6","Epithelial_tumor_candidate",211,198,93.84
"scB12","2","Differentiated_epithelial_tumor_candidate",533,2,0.38
"scB12","3","Cycling_epithelial_tumor_candidate",1428,1,0.07
"scB12","4","Cancer_testis_epithelial_tumor_candidate",13,0,0
"scB12","6","Epithelial_tumor_candidate",99,75,75.76
"scB13","2","Differentiated_epithelial_tumor_candidate",1805,127,7.04
"scB13","3","Cycling_epithelial_tumor_candidate",15,1,6.67
"scB13","4","Cancer_testis_epithelial_tumor_candidate",5,0,0
"scB13","6","Epithelial_tumor_candidate",7,7,100
"scB14","2","Differentiated_epithelial_tumor_candidate",206,0,0
"scB14","3","Cycling_epithelial_tumor_candidate",32,0,0
"scB14","4","Cancer_testis_epithelial_tumor_candidate",11,0,0
"scB14","6","Epithelial_tumor_candidate",65,35,53.85
"scB15","2","Differentiated_epithelial_tumor_candidate",127,0,0
"scB15","3","Cycling_epithelial_tumor_candidate",10,0,0
"scB15","4","Cancer_testis_epithelial_tumor_candidate",7,0,0
"scB15","6","Epithelial_tumor_candidate",5,5,100
