"sample_id","epithelial_core_cluster","relative_program_label","cell_number","percent_within_sample"
"OSCC","0","Cycling",2,50
"OSCC","4","Squamous_differentiation",1,25
"OSCC","6","Squamous_differentiation",1,25
"scB1","1","Mixed_epithelial_program",905,62.11
"scB1","3","Basal_epithelial",540,37.06
"scB1","4","Squamous_differentiation",12,0.82
"scB10","4","Squamous_differentiation",1,100
"scB12","0","Cycling",1,14.29
"scB12","1","Mixed_epithelial_program",5,71.43
"scB12","4","Squamous_differentiation",1,14.29
"scB13","4","Squamous_differentiation",126,93.33
"scB13","5","Cancer_testis",9,6.67
"scB14","0","Cycling",1,2.86
"scB14","1","Mixed_epithelial_program",1,2.86
"scB14","4","Squamous_differentiation",30,85.71
"scB14","6","Squamous_differentiation",3,8.57
"scB15","4","Squamous_differentiation",5,100
"scB2","0","Cycling",5,2.91
"scB2","7","Squamous_differentiation",167,97.09
"scB5","3","Basal_epithelial",5,2.34
"scB5","4","Squamous_differentiation",198,92.52
"scB5","5","Cancer_testis",9,4.21
"scB5","7","Squamous_differentiation",2,0.93
"scB7","0","Cycling",4,1.37
"scB7","4","Squamous_differentiation",5,1.71
"scB7","5","Cancer_testis",1,0.34
"scB7","6","Squamous_differentiation",282,96.58
"scB8","0","Cycling",2,0.17
"scB8","2","Cancer_testis",714,62.36
"scB8","3","Basal_epithelial",2,0.17
"scB8","4","Squamous_differentiation",104,9.08
"scB8","5","Cancer_testis",322,28.12
"scB8","6","Squamous_differentiation",1,0.09
"scB9","0","Cycling",927,99.14
"scB9","4","Squamous_differentiation",5,0.53
"scB9","6","Squamous_differentiation",1,0.11
"scB9","7","Squamous_differentiation",2,0.21
