"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_878","Y_876",1,-0.123268213561857,-5.06335253363324,-0.285302944340359,-5.17289680902402
"Y_878","Y_847",1,-0.457725794088194,-5.26778602610674,-0.285302944340359,-5.17289680902402
"Y_873","Y_863",1,-3.57724202527606,8.39433361034522,-3.38643278905597,7.52179952740654
"Y_873","Y_209",1,-3.19562355283588,6.64926544446784,-3.38643278905597,7.52179952740654
"Y_869","Y_863",1,-3.57724202527606,8.39433361034522,-3.6674704355053,8.57959004156862
"Y_869","Y_278",1,-3.85028192620594,8.74594495607939,-3.6674704355053,8.57959004156862
"Y_860","Y_850",1,-2.95118776145765,12.4881115291995,-2.83139534270233,12.5898117146182
"Y_860","Y_420",1,-2.69763711241373,12.5803768696324,-2.83139534270233,12.5898117146182
"Y_874","Y_847",1,-0.457725794088194,-5.26778602610674,-0.908336329594574,-5.16689077225988
"Y_874","Y_402",1,-1.22232159973829,-5.04786334697787,-0.908336329594574,-5.16689077225988
"Y_859","Y_846",1,7.51780169405878,-6.44909591124297,7.58220580223271,-6.23392855972583
"Y_859","Y_150",1,7.68476458214582,-6.01698783100876,7.58220580223271,-6.23392855972583
"Y_876","Y_838",1,0.095461197099962,-5.17005016763821,-0.123268213561857,-5.06335253363324
"Y_852","Y_827",1,-8.36099051646494,10.4744285439561,-8.32692305778265,10.2546348800984
"Y_852","Y_833",1,-8.46687067804434,10.1878309243422,-8.32692305778265,10.2546348800984
"Y_865","Y_831",1,-4.74165569972068,-6.19286317516823,-4.6927755560897,-6.04816245688
"Y_861","Y_227",1,2.66871404737807,-2.42703009155302,2.90289398483345,-2.39731265922097
"Y_861","Y_829",1,3.02473453873809,-2.54034465968534,2.90289398483345,-2.39731265922097
"Y_822","Y_821",1,-4.26206318673557,3.06183941327705,-4.48798678326813,3.11769006459362
"Y_822","Y_816",1,-4.52827516704214,2.90780782660889,-4.48798678326813,3.11769006459362
"Y_823","Y_814",1,-5.20358277465539,1.20140046244254,-4.99002196182162,1.3022438235484
"Y_823","Y_809",1,-4.7531214525645,1.41084883332504,-4.99002196182162,1.3022438235484
"Y_837","Y_248",1,9.64358531872697,-3.27978381252362,9.47992846335527,-3.17186475772929
