"vertex_group","paper_major_cell_type","paper_malignant_focus","cell_number","percent_within_vertex_group"
"Vertex_group_1","B_Cell","Background",1625,38.38
"Vertex_group_1","Plasma_Cell","Background",1514,35.76
"Vertex_group_1","pDC","Background",623,14.71
"Vertex_group_1","Cytotoxic_T_NKT","Background",207,4.89
"Vertex_group_1","Treg","Background",194,4.58
"Vertex_group_1","CT_Antigen_Tumor","Malignant_Focused",23,0.54
"Vertex_group_1","Macrophage","Background",21,0.5
"Vertex_group_1","Cycling_Tumor","Malignant_Focused",12,0.28
"Vertex_group_1","Differentiated_Tumor","Malignant_Focused",9,0.21
"Vertex_group_1","Blood_Endothelial","Background",3,0.07
"Vertex_group_1","Fibroblast_CAF","Background",2,0.05
"Vertex_group_1","Mast_Cell","Background",1,0.02
"Vertex_group_2","Differentiated_Tumor","Malignant_Focused",1629,41.24
"Vertex_group_2","Tumor_Epithelial","Malignant_Focused",1513,38.3
"Vertex_group_2","Cycling_Tumor","Malignant_Focused",791,20.03
"Vertex_group_2","CT_Antigen_Tumor","Malignant_Focused",7,0.18
"Vertex_group_2","Fibroblast_CAF","Background",5,0.13
"Vertex_group_2","Macrophage","Background",2,0.05
"Vertex_group_2","Blood_Endothelial","Background",1,0.03
"Vertex_group_2","Mast_Cell","Background",1,0.03
"Vertex_group_2","Salivary_Epithelial","Background",1,0.03
"Vertex_group_3","Cytotoxic_T_NKT","Background",7532,71.95
"Vertex_group_3","Treg","Background",2678,25.58
"Vertex_group_3","CT_Antigen_Tumor","Malignant_Focused",81,0.77
"Vertex_group_3","Macrophage","Background",48,0.46
"Vertex_group_3","Cycling_Tumor","Malignant_Focused",46,0.44
"Vertex_group_3","Plasma_Cell","Background",25,0.24
"Vertex_group_3","Differentiated_Tumor","Malignant_Focused",24,0.23
"Vertex_group_3","B_Cell","Background",19,0.18
"Vertex_group_3","Fibroblast_CAF","Background",7,0.07
"Vertex_group_3","pDC","Background",4,0.04
"Vertex_group_3","Blood_Endothelial","Background",3,0.03
"Vertex_group_3","Mast_Cell","Background",2,0.02
"Vertex_group_4","Cycling_Tumor","Malignant_Focused",2421,50.79
"Vertex_group_4","Tumor_Epithelial","Malignant_Focused",1833,38.45
"Vertex_group_4","Differentiated_Tumor","Malignant_Focused",447,9.38
"Vertex_group_4","CT_Antigen_Tumor","Malignant_Focused",25,0.52
"Vertex_group_4","Fibroblast_CAF","Background",22,0.46
"Vertex_group_4","Cytotoxic_T_NKT","Background",8,0.17
"Vertex_group_4","Macrophage","Background",7,0.15
"Vertex_group_4","Plasma_Cell","Background",3,0.06
"Vertex_group_4","Blood_Endothelial","Background",1,0.02
"Vertex_group_5","CT_Antigen_Tumor","Malignant_Focused",3336,49.23
"Vertex_group_5","Differentiated_Tumor","Malignant_Focused",2560,37.78
"Vertex_group_5","Cycling_Tumor","Malignant_Focused",536,7.91
"Vertex_group_5","Tumor_Epithelial","Malignant_Focused",172,2.54
"Vertex_group_5","Salivary_Epithelial","Background",60,0.89
"Vertex_group_5","Fibroblast_CAF","Background",38,0.56
"Vertex_group_5","Plasma_Cell","Background",33,0.49
"Vertex_group_5","Cytotoxic_T_NKT","Background",19,0.28
"Vertex_group_5","Blood_Endothelial","Background",9,0.13
"Vertex_group_5","Macrophage","Background",9,0.13
"Vertex_group_5","B_Cell","Background",2,0.03
"Vertex_group_5","Mast_Cell","Background",2,0.03
"Vertex_group_6","Cytotoxic_T_NKT","Background",4463,88.25
"Vertex_group_6","Treg","Background",407,8.05
"Vertex_group_6","CT_Antigen_Tumor","Malignant_Focused",51,1.01
"Vertex_group_6","Differentiated_Tumor","Malignant_Focused",42,0.83
"Vertex_group_6","Macrophage","Background",27,0.53
"Vertex_group_6","Plasma_Cell","Background",25,0.49
"Vertex_group_6","Cycling_Tumor","Malignant_Focused",17,0.34
"Vertex_group_6","B_Cell","Background",14,0.28
"Vertex_group_6","Mast_Cell","Background",4,0.08
"Vertex_group_6","pDC","Background",3,0.06
"Vertex_group_6","Blood_Endothelial","Background",2,0.04
"Vertex_group_6","Fibroblast_CAF","Background",2,0.04
"Vertex_group_7","Fibroblast_CAF","Background",2166,55.82
"Vertex_group_7","Blood_Endothelial","Background",1569,40.44
"Vertex_group_7","Lymphatic_Endothelial","Background",134,3.45
"Vertex_group_7","Cytotoxic_T_NKT","Background",6,0.15
"Vertex_group_7","Cycling_Tumor","Malignant_Focused",3,0.08
"Vertex_group_7","Differentiated_Tumor","Malignant_Focused",1,0.03
"Vertex_group_7","Tumor_Epithelial","Malignant_Focused",1,0.03
"Vertex_group_8","Macrophage","Background",4979,83.67
"Vertex_group_8","Mast_Cell","Background",788,13.24
"Vertex_group_8","Cytotoxic_T_NKT","Background",64,1.08
"Vertex_group_8","pDC","Background",57,0.96
"Vertex_group_8","Cycling_Tumor","Malignant_Focused",25,0.42
"Vertex_group_8","Differentiated_Tumor","Malignant_Focused",11,0.18
"Vertex_group_8","CT_Antigen_Tumor","Malignant_Focused",9,0.15
"Vertex_group_8","B_Cell","Background",7,0.12
"Vertex_group_8","Fibroblast_CAF","Background",7,0.12
"Vertex_group_8","Tumor_Epithelial","Malignant_Focused",2,0.03
"Vertex_group_8","Blood_Endothelial","Background",1,0.02
"Vertex_group_8","Treg","Background",1,0.02
