"vertex_bin","paper_major_cell_type","paper_malignant_focus","cell_number","percent_within_vertex_bin"
"196–292","B_Cell","Background",348,7.79
"196–292","Blood_Endothelial","Background",1,0.02
"196–292","CT_Antigen_Tumor","Malignant_Focused",27,0.6
"196–292","Cycling_Tumor","Malignant_Focused",162,3.63
"196–292","Cytotoxic_T_NKT","Background",1986,44.45
"196–292","Differentiated_Tumor","Malignant_Focused",367,8.21
"196–292","Fibroblast_CAF","Background",131,2.93
"196–292","Macrophage","Background",559,12.51
"196–292","Mast_Cell","Background",73,1.63
"196–292","Plasma_Cell","Background",7,0.16
"196–292","Treg","Background",399,8.93
"196–292","Tumor_Epithelial","Malignant_Focused",407,9.11
"196–292","pDC","Background",1,0.02
"1–97","B_Cell","Background",160,4.29
"1–97","Blood_Endothelial","Background",524,14.04
"1–97","CT_Antigen_Tumor","Malignant_Focused",8,0.21
"1–97","Cycling_Tumor","Malignant_Focused",361,9.67
"1–97","Cytotoxic_T_NKT","Background",719,19.27
"1–97","Differentiated_Tumor","Malignant_Focused",137,3.67
"1–97","Fibroblast_CAF","Background",370,9.91
"1–97","Macrophage","Background",801,21.46
"1–97","Plasma_Cell","Background",136,3.64
"1–97","Treg","Background",170,4.56
"1–97","Tumor_Epithelial","Malignant_Focused",281,7.53
"1–97","pDC","Background",65,1.74
"293–390","B_Cell","Background",204,3.77
"293–390","Blood_Endothelial","Background",214,3.96
"293–390","CT_Antigen_Tumor","Malignant_Focused",339,6.27
"293–390","Cycling_Tumor","Malignant_Focused",47,0.87
"293–390","Cytotoxic_T_NKT","Background",2621,48.48
"293–390","Differentiated_Tumor","Malignant_Focused",462,8.55
"293–390","Fibroblast_CAF","Background",70,1.29
"293–390","Macrophage","Background",465,8.6
"293–390","Mast_Cell","Background",47,0.87
"293–390","Plasma_Cell","Background",23,0.43
"293–390","Treg","Background",434,8.03
"293–390","Tumor_Epithelial","Malignant_Focused",478,8.84
"293–390","pDC","Background",2,0.04
"391–487","B_Cell","Background",187,3.64
"391–487","Blood_Endothelial","Background",33,0.64
"391–487","CT_Antigen_Tumor","Malignant_Focused",1719,33.49
"391–487","Cycling_Tumor","Malignant_Focused",33,0.64
"391–487","Cytotoxic_T_NKT","Background",1327,25.85
"391–487","Differentiated_Tumor","Malignant_Focused",109,2.12
"391–487","Fibroblast_CAF","Background",204,3.97
"391–487","Macrophage","Background",481,9.37
"391–487","Mast_Cell","Background",340,6.62
"391–487","Plasma_Cell","Background",181,3.53
"391–487","Treg","Background",315,6.14
"391–487","Tumor_Epithelial","Malignant_Focused",121,2.36
"391–487","pDC","Background",83,1.62
"488–585","B_Cell","Background",152,2.79
"488–585","Blood_Endothelial","Background",87,1.6
"488–585","CT_Antigen_Tumor","Malignant_Focused",1276,23.41
"488–585","Cycling_Tumor","Malignant_Focused",315,5.78
"488–585","Cytotoxic_T_NKT","Background",1534,28.14
"488–585","Differentiated_Tumor","Malignant_Focused",52,0.95
"488–585","Fibroblast_CAF","Background",137,2.51
"488–585","Macrophage","Background",712,13.06
"488–585","Mast_Cell","Background",27,0.5
"488–585","Plasma_Cell","Background",346,6.35
"488–585","Treg","Background",105,1.93
"488–585","Tumor_Epithelial","Malignant_Focused",565,10.37
"488–585","pDC","Background",143,2.62
"586–682","B_Cell","Background",4,0.08
"586–682","Blood_Endothelial","Background",186,3.79
"586–682","CT_Antigen_Tumor","Malignant_Focused",13,0.27
"586–682","Cycling_Tumor","Malignant_Focused",701,14.3
"586–682","Cytotoxic_T_NKT","Background",1862,37.98
"586–682","Differentiated_Tumor","Malignant_Focused",246,5.02
"586–682","Fibroblast_CAF","Background",283,5.77
"586–682","Macrophage","Background",237,4.83
"586–682","Mast_Cell","Background",1,0.02
"586–682","Plasma_Cell","Background",89,1.82
"586–682","Salivary_Epithelial","Background",1,0.02
"586–682","Treg","Background",473,9.65
"586–682","Tumor_Epithelial","Malignant_Focused",436,8.89
"586–682","pDC","Background",370,7.55
"683–780","B_Cell","Background",203,3.47
"683–780","Blood_Endothelial","Background",30,0.51
"683–780","CT_Antigen_Tumor","Malignant_Focused",35,0.6
"683–780","Cycling_Tumor","Malignant_Focused",1470,25.12
"683–780","Cytotoxic_T_NKT","Background",1145,19.57
"683–780","Differentiated_Tumor","Malignant_Focused",877,14.99
"683–780","Fibroblast_CAF","Background",354,6.05
"683–780","Macrophage","Background",551,9.42
"683–780","Mast_Cell","Background",158,2.7
"683–780","Plasma_Cell","Background",196,3.35
"683–780","Salivary_Epithelial","Background",27,0.46
"683–780","Treg","Background",594,10.15
"683–780","Tumor_Epithelial","Malignant_Focused",212,3.62
"781–878","B_Cell","Background",253,4.67
"781–878","Blood_Endothelial","Background",444,8.2
"781–878","CT_Antigen_Tumor","Malignant_Focused",89,1.64
"781–878","Cycling_Tumor","Malignant_Focused",109,2.01
"781–878","Cytotoxic_T_NKT","Background",784,14.48
"781–878","Differentiated_Tumor","Malignant_Focused",2026,37.42
"781–878","Fibroblast_CAF","Background",493,9.11
"781–878","Lymphatic_Endothelial","Background",134,2.48
"781–878","Macrophage","Background",249,4.6
"781–878","Mast_Cell","Background",60,1.11
"781–878","Plasma_Cell","Background",425,7.85
"781–878","Treg","Background",205,3.79
"781–878","Tumor_Epithelial","Malignant_Focused",135,2.49
"781–878","pDC","Background",8,0.15
"98–195","B_Cell","Background",156,3.3
"98–195","Blood_Endothelial","Background",70,1.48
"98–195","CT_Antigen_Tumor","Malignant_Focused",26,0.55
"98–195","Cycling_Tumor","Malignant_Focused",653,13.82
"98–195","Cytotoxic_T_NKT","Background",321,6.79
"98–195","Differentiated_Tumor","Malignant_Focused",447,9.46
"98–195","Fibroblast_CAF","Background",207,4.38
"98–195","Macrophage","Background",1038,21.96
"98–195","Mast_Cell","Background",92,1.95
"98–195","Plasma_Cell","Background",197,4.17
"98–195","Salivary_Epithelial","Background",33,0.7
"98–195","Treg","Background",585,12.38
"98–195","Tumor_Epithelial","Malignant_Focused",886,18.75
"98–195","pDC","Background",15,0.32
