"paper_cluster_res_0_2","candidate_cluster","sample_id","cell_number","percent_within_cluster"
"11","11_Tumor_Epithelial","OSCC",3,0.33
"11","11_Tumor_Epithelial","scB1",901,99.67
"2","2_Differentiated_Tumor","OSCC",84,1.78
"2","2_Differentiated_Tumor","scB1",635,13.44
"2","2_Differentiated_Tumor","scB2",82,1.74
"2","2_Differentiated_Tumor","scB5",378,8
"2","2_Differentiated_Tumor","scB7",316,6.69
"2","2_Differentiated_Tumor","scB8",402,8.51
"2","2_Differentiated_Tumor","scB9",134,2.84
"2","2_Differentiated_Tumor","scB10",21,0.44
"2","2_Differentiated_Tumor","scB12",533,11.29
"2","2_Differentiated_Tumor","scB13",1805,38.22
"2","2_Differentiated_Tumor","scB14",206,4.36
"2","2_Differentiated_Tumor","scB15",127,2.69
"3","3_Cycling_Tumor","OSCC",222,5.76
"3","3_Cycling_Tumor","scB1",824,21.4
"3","3_Cycling_Tumor","scB2",14,0.36
"3","3_Cycling_Tumor","scB5",67,1.74
"3","3_Cycling_Tumor","scB7",9,0.23
"3","3_Cycling_Tumor","scB8",215,5.58
"3","3_Cycling_Tumor","scB9",732,19.01
"3","3_Cycling_Tumor","scB10",283,7.35
"3","3_Cycling_Tumor","scB12",1428,37.08
"3","3_Cycling_Tumor","scB13",15,0.39
"3","3_Cycling_Tumor","scB14",32,0.83
"3","3_Cycling_Tumor","scB15",10,0.26
"4","4_CT_Antigen_Tumor","OSCC",9,0.25
"4","4_CT_Antigen_Tumor","scB1",7,0.2
"4","4_CT_Antigen_Tumor","scB2",1,0.03
"4","4_CT_Antigen_Tumor","scB5",15,0.42
"4","4_CT_Antigen_Tumor","scB7",1,0.03
"4","4_CT_Antigen_Tumor","scB8",3458,97.9
"4","4_CT_Antigen_Tumor","scB9",2,0.06
"4","4_CT_Antigen_Tumor","scB10",3,0.08
"4","4_CT_Antigen_Tumor","scB12",13,0.37
"4","4_CT_Antigen_Tumor","scB13",5,0.14
"4","4_CT_Antigen_Tumor","scB14",11,0.31
"4","4_CT_Antigen_Tumor","scB15",7,0.2
"6","6_Tumor_Epithelial","OSCC",177,6.76
"6","6_Tumor_Epithelial","scB1",20,0.76
"6","6_Tumor_Epithelial","scB2",206,7.87
"6","6_Tumor_Epithelial","scB5",31,1.18
"6","6_Tumor_Epithelial","scB7",399,15.25
"6","6_Tumor_Epithelial","scB8",263,10.05
"6","6_Tumor_Epithelial","scB9",1134,43.33
"6","6_Tumor_Epithelial","scB10",211,8.06
"6","6_Tumor_Epithelial","scB12",99,3.78
"6","6_Tumor_Epithelial","scB13",7,0.27
"6","6_Tumor_Epithelial","scB14",65,2.48
"6","6_Tumor_Epithelial","scB15",5,0.19
