"paper_cluster_res_0_2","candidate_cluster","vertex_bin","cell_number","percent_within_cluster"
"11","11_Tumor_Epithelial","196–292",1,0.11
"11","11_Tumor_Epithelial","1–97",63,6.97
"11","11_Tumor_Epithelial","293–390",1,0.11
"11","11_Tumor_Epithelial","586–682",1,0.11
"11","11_Tumor_Epithelial","98–195",838,92.7
"2","2_Differentiated_Tumor","196–292",367,7.77
"2","2_Differentiated_Tumor","1–97",137,2.9
"2","2_Differentiated_Tumor","293–390",462,9.78
"2","2_Differentiated_Tumor","391–487",109,2.31
"2","2_Differentiated_Tumor","488–585",52,1.1
"2","2_Differentiated_Tumor","586–682",246,5.21
"2","2_Differentiated_Tumor","683–780",877,18.57
"2","2_Differentiated_Tumor","781–878",2026,42.9
"2","2_Differentiated_Tumor","98–195",447,9.46
"3","3_Cycling_Tumor","196–292",162,4.21
"3","3_Cycling_Tumor","1–97",361,9.37
"3","3_Cycling_Tumor","293–390",47,1.22
"3","3_Cycling_Tumor","391–487",33,0.86
"3","3_Cycling_Tumor","488–585",315,8.18
"3","3_Cycling_Tumor","586–682",701,18.2
"3","3_Cycling_Tumor","683–780",1470,38.17
"3","3_Cycling_Tumor","781–878",109,2.83
"3","3_Cycling_Tumor","98–195",653,16.96
"4","4_CT_Antigen_Tumor","196–292",27,0.76
"4","4_CT_Antigen_Tumor","1–97",8,0.23
"4","4_CT_Antigen_Tumor","293–390",339,9.6
"4","4_CT_Antigen_Tumor","391–487",1719,48.67
"4","4_CT_Antigen_Tumor","488–585",1276,36.13
"4","4_CT_Antigen_Tumor","586–682",13,0.37
"4","4_CT_Antigen_Tumor","683–780",35,0.99
"4","4_CT_Antigen_Tumor","781–878",89,2.52
"4","4_CT_Antigen_Tumor","98–195",26,0.74
"6","6_Tumor_Epithelial","196–292",406,15.51
"6","6_Tumor_Epithelial","1–97",218,8.33
"6","6_Tumor_Epithelial","293–390",477,18.23
"6","6_Tumor_Epithelial","391–487",121,4.62
"6","6_Tumor_Epithelial","488–585",565,21.59
"6","6_Tumor_Epithelial","586–682",435,16.62
"6","6_Tumor_Epithelial","683–780",212,8.1
"6","6_Tumor_Epithelial","781–878",135,5.16
"6","6_Tumor_Epithelial","98–195",48,1.83
