"sample_id","epithelial_core_cluster","relative_program_label","gene","cell_number","percent_expressed","mean_log_normalized_expression"
"OSCC","0","Cycling","COL1A1",2,0,0
"OSCC","0","Cycling","EMP1",2,50,0.128657717267492
"OSCC","0","Cycling","MYH11",2,0,0
"OSCC","0","Cycling","SASH1",2,0,0
"OSCC","4","Squamous_differentiation","COL1A1",1,0,0
"OSCC","4","Squamous_differentiation","EMP1",1,100,2.23547642343045
"OSCC","4","Squamous_differentiation","MYH11",1,0,0
"OSCC","4","Squamous_differentiation","SASH1",1,0,0
"OSCC","6","Squamous_differentiation","COL1A1",1,100,0.133835656799764
"OSCC","6","Squamous_differentiation","EMP1",1,100,0.133835656799764
"OSCC","6","Squamous_differentiation","MYH11",1,100,0.133835656799764
"OSCC","6","Squamous_differentiation","SASH1",1,0,0
"scB1","1","Mixed_epithelial_program","COL1A1",905,53.81,0.182330167903423
"scB1","1","Mixed_epithelial_program","EMP1",905,77.02,0.41701944144067
"scB1","1","Mixed_epithelial_program","MYH11",905,3.98,0.00813165082188964
"scB1","1","Mixed_epithelial_program","SASH1",905,5.75,0.012318147137414
"scB1","3","Basal_epithelial","COL1A1",540,14.07,0.135051346327147
"scB1","3","Basal_epithelial","EMP1",540,10.37,0.0916103280961416
"scB1","3","Basal_epithelial","MYH11",540,0.37,0.00400289886917597
"scB1","3","Basal_epithelial","SASH1",540,0.74,0.00561184436616499
"scB1","4","Squamous_differentiation","COL1A1",12,0,0
"scB1","4","Squamous_differentiation","EMP1",12,16.67,0.352399919548292
"scB1","4","Squamous_differentiation","MYH11",12,0,0
"scB1","4","Squamous_differentiation","SASH1",12,0,0
"scB2","0","Cycling","COL1A1",5,40,0.0603073535933666
"scB2","0","Cycling","EMP1",5,40,0.118910161817326
"scB2","0","Cycling","MYH11",5,20,0.0301611922811743
"scB2","0","Cycling","SASH1",5,40,0.0695628962547197
"scB2","7","Squamous_differentiation","COL1A1",167,40.72,0.128305069460955
"scB2","7","Squamous_differentiation","EMP1",167,92.81,0.993077613810774
"scB2","7","Squamous_differentiation","MYH11",167,1.2,0.00351921001975669
"scB2","7","Squamous_differentiation","SASH1",167,41.32,0.146186188312138
"scB5","3","Basal_epithelial","COL1A1",5,0,0
"scB5","3","Basal_epithelial","EMP1",5,0,0
"scB5","3","Basal_epithelial","MYH11",5,0,0
"scB5","3","Basal_epithelial","SASH1",5,0,0
"scB5","4","Squamous_differentiation","COL1A1",198,3.03,0.0342075135191669
"scB5","4","Squamous_differentiation","EMP1",198,10.1,0.112484151208509
"scB5","4","Squamous_differentiation","MYH11",198,2.02,0.035997796335968
"scB5","4","Squamous_differentiation","SASH1",198,5.56,0.0379935069327151
"scB5","5","Cancer_testis","COL1A1",9,0,0
"scB5","5","Cancer_testis","EMP1",9,11.11,0.251374721548502
"scB5","5","Cancer_testis","MYH11",9,0,0
"scB5","5","Cancer_testis","SASH1",9,0,0
"scB5","7","Squamous_differentiation","COL1A1",2,0,0
"scB5","7","Squamous_differentiation","EMP1",2,100,3.89121377401351
"scB5","7","Squamous_differentiation","MYH11",2,0,0
"scB5","7","Squamous_differentiation","SASH1",2,100,0.822745074715253
"scB7","0","Cycling","COL1A1",4,25,0.182050389128697
"scB7","0","Cycling","EMP1",4,25,0.182050389128697
"scB7","0","Cycling","MYH11",4,0,0
"scB7","0","Cycling","SASH1",4,0,0
"scB7","4","Squamous_differentiation","COL1A1",5,60,0.471374514499165
"scB7","4","Squamous_differentiation","EMP1",5,20,0.182461295182287
"scB7","4","Squamous_differentiation","MYH11",5,20,0.0769942064399302
"scB7","4","Squamous_differentiation","SASH1",5,40,0.147606651723911
"scB7","5","Cancer_testis","COL1A1",1,0,0
"scB7","5","Cancer_testis","EMP1",1,100,0.162695592337206
"scB7","5","Cancer_testis","MYH11",1,0,0
"scB7","5","Cancer_testis","SASH1",1,0,0
"scB7","6","Squamous_differentiation","COL1A1",282,30.5,0.108208757009525
"scB7","6","Squamous_differentiation","EMP1",282,65.6,0.42014958005776
"scB7","6","Squamous_differentiation","MYH11",282,2.48,0.00961086600610194
"scB7","6","Squamous_differentiation","SASH1",282,51.42,0.200171325500309
"scB8","0","Cycling","COL1A1",2,0,0
"scB8","0","Cycling","EMP1",2,100,1.57664857584889
"scB8","0","Cycling","MYH11",2,0,0
"scB8","0","Cycling","SASH1",2,0,0
"scB8","2","Cancer_testis","COL1A1",714,6.44,0.108771205969011
"scB8","2","Cancer_testis","EMP1",714,1.26,0.0162381947696537
"scB8","2","Cancer_testis","MYH11",714,0.14,0.00280902338668785
"scB8","2","Cancer_testis","SASH1",714,2.38,0.0326990948598676
"scB8","3","Basal_epithelial","COL1A1",2,50,0.868427830893607
"scB8","3","Basal_epithelial","EMP1",2,0,0
"scB8","3","Basal_epithelial","MYH11",2,0,0
"scB8","3","Basal_epithelial","SASH1",2,0,0
"scB8","4","Squamous_differentiation","COL1A1",104,4.81,0.0632956017619439
"scB8","4","Squamous_differentiation","EMP1",104,50.96,0.498245175817297
"scB8","4","Squamous_differentiation","MYH11",104,0.96,0.00193003110108484
"scB8","4","Squamous_differentiation","SASH1",104,37.5,0.183070671945279
"scB8","5","Cancer_testis","COL1A1",322,4.97,0.0711008314727117
"scB8","5","Cancer_testis","EMP1",322,2.48,0.0323122060385819
"scB8","5","Cancer_testis","MYH11",322,0,0
"scB8","5","Cancer_testis","SASH1",322,2.17,0.0326515624681839
"scB8","6","Squamous_differentiation","COL1A1",1,0,0
