"expression_class","cell_number","gene","percent_of_malignant_focused","high_cutoff_log_normalized_expression"
"Background",14868,"SASH1",95.14,0.223046420783788
"Low",569,"SASH1",3.64,0.223046420783788
"High",190,"SASH1",1.22,0.223046420783788
"Background",15438,"MYH11",98.79,0.173176821130263
"Low",141,"MYH11",0.9,0.173176821130263
"High",48,"MYH11",0.31,0.173176821130263
"Background",12819,"EMP1",82.03,0.443476242521173
"Low",2106,"EMP1",13.48,0.443476242521173
"High",702,"EMP1",4.49,0.443476242521173
"Background",13063,"COL1A1",83.59,1.32357812616355
"Low",1923,"COL1A1",12.31,1.32357812616355
"High",641,"COL1A1",4.1,1.32357812616355
