"expression_class","cell_number","gene","focus_definition","percent_within_focus","high_cutoff_log_normalized_expression","detected_cell_number","detected_percent_within_focus"
"Background",0,"SASH1","Core_Malignant_Focused",0,0.150816294159761,650,18.46
"Low",3358,"SASH1","Core_Malignant_Focused",95.37,0.150816294159761,650,18.46
"High",163,"SASH1","Core_Malignant_Focused",4.63,0.150816294159761,650,18.46
"Background",0,"MYH11","Core_Malignant_Focused",0,0.109528081429586,153,4.35
"Low",3482,"MYH11","Core_Malignant_Focused",98.89,0.109528081429586,153,4.35
"High",39,"MYH11","Core_Malignant_Focused",1.11,0.109528081429586,153,4.35
"Background",0,"EMP1","Core_Malignant_Focused",0,0.318804883829677,2319,65.86
"Low",2941,"EMP1","Core_Malignant_Focused",83.53,0.318804883829677,2319,65.86
"High",580,"EMP1","Core_Malignant_Focused",16.47,0.318804883829677,2319,65.86
"Background",0,"COL1A1","Core_Malignant_Focused",0,0.19303264889775,1439,40.87
"Low",3161,"COL1A1","Core_Malignant_Focused",89.78,0.19303264889775,1439,40.87
"High",360,"COL1A1","Core_Malignant_Focused",10.22,0.19303264889775,1439,40.87
"Background",0,"SASH1","Extended_Malignant_Focused",0,0.169075122314223,686,9.73
"Low",6881,"SASH1","Extended_Malignant_Focused",97.56,0.169075122314223,686,9.73
"High",172,"SASH1","Extended_Malignant_Focused",2.44,0.169075122314223,686,9.73
"Background",0,"MYH11","Extended_Malignant_Focused",0,0.123909762922414,165,2.34
"Low",7011,"MYH11","Extended_Malignant_Focused",99.4,0.123909762922414,165,2.34
"High",42,"MYH11","Extended_Malignant_Focused",0.6,0.123909762922414,165,2.34
"Background",0,"EMP1","Extended_Malignant_Focused",0,0.327798827535947,2366,33.55
"Low",6461,"EMP1","Extended_Malignant_Focused",91.61,0.327798827535947,2366,33.55
"High",592,"EMP1","Extended_Malignant_Focused",8.39,0.327798827535947,2366,33.55
"Background",0,"COL1A1","Extended_Malignant_Focused",0,0.268191838324652,1629,23.1
"Low",6645,"COL1A1","Extended_Malignant_Focused",94.22,0.268191838324652,1629,23.1
"High",408,"COL1A1","Extended_Malignant_Focused",5.78,0.268191838324652,1629,23.1
