"domain","marker_gene"
"Fibrotic Stroma","COL1A1"
"Fibrotic Stroma","COL1A2"
"Fibrotic Stroma","COL3A1"
"Fibrotic Stroma","COL6A1"
"Fibrotic Stroma","DCN"
"Fibrotic Stroma","LUM"
"Fibrotic Stroma","FAP"
"Fibrotic Stroma","ACTA2"
"Fibrotic Stroma","TAGLN"
"Myeloid-rich Inflammatory Zone","LYZ"
"Myeloid-rich Inflammatory Zone","LST1"
"Myeloid-rich Inflammatory Zone","TYROBP"
"Myeloid-rich Inflammatory Zone","FCER1G"
"Myeloid-rich Inflammatory Zone","AIF1"
"Myeloid-rich Inflammatory Zone","C1QA"
"Myeloid-rich Inflammatory Zone","C1QB"
"Myeloid-rich Inflammatory Zone","C1QC"
"Myeloid-rich Inflammatory Zone","CD68"
"Differentiated/Keratinizing Tumor","KRT1"
"Differentiated/Keratinizing Tumor","KRT4"
"Differentiated/Keratinizing Tumor","KRT10"
"Differentiated/Keratinizing Tumor","KRT13"
"Differentiated/Keratinizing Tumor","IVL"
"Differentiated/Keratinizing Tumor","SPRR1B"
"Differentiated/Keratinizing Tumor","SPRR2A"
"Differentiated/Keratinizing Tumor","KRTDAP"
"Metabolic/Secretory Tumor","KRT8"
"Metabolic/Secretory Tumor","KRT18"
"Metabolic/Secretory Tumor","KRT19"
"Metabolic/Secretory Tumor","MUC1"
"Metabolic/Secretory Tumor","SLPI"
"Metabolic/Secretory Tumor","LCN2"
"Metabolic/Secretory Tumor","AGR2"
"Metabolic/Secretory Tumor","TFF3"
"Basal-like Proliferative Tumor","KRT5"
"Basal-like Proliferative Tumor","KRT14"
"Basal-like Proliferative Tumor","KRT15"
"Basal-like Proliferative Tumor","TP63"
"Basal-like Proliferative Tumor","MKI67"
"Basal-like Proliferative Tumor","TOP2A"
"Basal-like Proliferative Tumor","PCNA"
"Basal-like Proliferative Tumor","UBE2C"
"CSC-like Niche","SOX2"
"CSC-like Niche","ALDH1A1"
"CSC-like Niche","PROM1"
"CSC-like Niche","EPCAM"
"CSC-like Niche","KRT17"
"CSC-like Niche","ITGA6"
"CSC-like Niche","LGR5"
"CSC-like Niche","CD44"
