"Figure4_celltype","cell_number","SASH1_average_expression","SASH1_positive_percent","MYH11_average_expression","MYH11_positive_percent","EMP1_average_expression","EMP1_positive_percent","COL1A1_average_expression","COL1A1_positive_percent"
"B cell",1667,0.0068131050497718,0.36,0.0619800928050699,4.14,0.017469279928981,1.14,0.065389691850812,4.32
"Blood endothelial",1589,0.529547763537701,47.39,0.0388578328525494,4.97,1.35703496321123,71.3,0.265093551516045,12.4
"CT-antigen tumor",3532,0.0175755693287051,1.02,0.00554235162857608,0.34,0.0273326625992576,1.33,0.116382602284726,5.38
"Cycling tumor",3851,0.00527117225513893,0.29,0.0017590645625088,0.08,0.0940336298218985,4.73,0.396315360642215,16.1
"Cytotoxic T/NKT",12299,0.00367227962973163,0.22,0.0309522932767179,1.9,0.0358051677668685,2.21,0.0643690243596636,3.81
"Differentiated tumor",4723,0.0255606846758129,1.31,0.00872671484884403,0.44,0.105102865309073,5.5,0.138118318623621,6.67
"Fibroblast / CAF",2249,0.264446529921207,30.77,0.264174296718915,12.81,1.06791078476592,66.65,3.5184574879669,88.97
"Lymphatic endothelial",134,0.622037036011956,67.91,0.0165863515282615,3.73,1.04853325813493,80.6,0.0529648154411173,8.96
"Macrophage",5093,0.172581840340969,15.63,0.0488192351509492,4.52,0.159477837431216,12.94,0.0745801204098182,5.97
"Mast cell",798,0.00165701019765295,0.38,0.0211853881663227,1.88,0.0251647198132692,2.88,0.0240949200663475,1.5
"Plasma cell",1600,0.00590499557205996,0.5,0.00782625115967761,0.81,0.0285379806100569,2.31,0.121519051117388,9
"Salivary epithelial",61,0.173187648499451,18.03,0,0,0.140292004045199,14.75,0.133333032256132,8.2
"Treg",3280,0.00352759326470059,0.24,0.0373287797093024,3.29,0.0239456651729657,2.01,0.0771905513518654,6.19
"Tumor epithelial",3521,0.071087643919938,18.46,0.0123433805856719,4.35,0.432900886583638,65.86,0.209732935835676,40.87
"pDC",687,0.00458920355218036,0.29,0.0182578433845844,1.75,0.0353796736223486,3.93,0.0480374743918074,4.51
