"Figure4_cluster","Figure4_cluster_celltype","Figure4_celltype","cell_number","SASH1_average_expression","SASH1_positive_percent","MYH11_average_expression","MYH11_positive_percent","EMP1_average_expression","EMP1_positive_percent","COL1A1_average_expression","COL1A1_positive_percent"
"0","c-0_CT-antigen tumor","CT-antigen tumor",4,0,0,0.506486405582683,25,0,0,0,0
"0","c-0_Cytotoxic T/NKT","Cytotoxic T/NKT",8011,0.00509707353943404,0.29,0.0380354514398266,2.22,0.0374666924097033,2.15,0.0566099766151914,3
"0","c-0_Treg","Treg",5,0,0,0,0,0,0,0,0
"1","c-1_CT-antigen tumor","CT-antigen tumor",11,0,0,0,0,0.178206838927104,9.09,0.244806905883461,9.09
"1","c-1_Cytotoxic T/NKT","Cytotoxic T/NKT",3,0,0,0,0,0,0,0,0
"1","c-1_Differentiated tumor","Differentiated tumor",4590,0.0251834805508699,1.26,0.00853879509934615,0.41,0.104318728366233,5.36,0.13807351728218,6.43
"1","c-1_Tumor epithelial","Tumor epithelial",1,0,0,0,0,0,0,0,0
"10","c-10_Blood endothelial","Blood endothelial",1589,0.529547763537701,47.39,0.0388578328525494,4.97,1.35703496321123,71.3,0.265093551516045,12.4
"11","c-11_Cycling tumor","Cycling tumor",5,0,0,0,0,0.227583355033842,40,0,0
"11","c-11_Macrophage","Macrophage",1,0,0,0,0,0.685412922408231,100,0,0
"11","c-11_Tumor epithelial","Tumor epithelial",1558,0.0396852666416002,12.45,0.0171957646854363,5.58,0.381701902125563,62.32,0.263015924896861,39.28
"12","c-12_Macrophage","Macrophage",1499,0.0768079597629268,3.74,0.0133734708655322,0.6,0.0497662871105021,2.47,0.0928683527452101,4.14
"13","c-13_CT-antigen tumor","CT-antigen tumor",1,0,0,0,0,0,0,0,0
"13","c-13_Treg","Treg",1187,0.000942730547851164,0.08,0.023936200568843,2.95,0.0249066456406864,2.61,0.0729988206523731,7.67
"14","c-14_Fibroblast / CAF","Fibroblast / CAF",1,0,0,0,0,1.9916024105346,100,3.65005757118077,100
"14","c-14_Tumor epithelial","Tumor epithelial",903,0.0124918451558002,5.87,0.00833566298099603,4.1,0.420680929377475,77.41,0.185737305882208,54.26
"15","c-15_Differentiated tumor","Differentiated tumor",2,0.526644424654813,50,0.838345069721634,50,0.943625340684888,50,0,0
"15","c-15_Tumor epithelial","Tumor epithelial",888,0.179104962010991,40.65,0.00821610782069075,2.59,0.571338284072034,65.54,0.150973353638919,31.98
"16","c-16_Mast cell","Mast cell",798,0.00165701019765295,0.38,0.0211853881663227,1.88,0.0251647198132692,2.88,0.0240949200663475,1.5
"17","c-17_B cell","B cell",1,0,0,0,0,0,0,0,0
"17","c-17_Macrophage","Macrophage",2,0,0,0.328932361845179,50,0,0,0,0
"17","c-17_pDC","pDC",687,0.00458920355218036,0.29,0.0182578433845844,1.75,0.0353796736223486,3.93,0.0480374743918074,4.51
"18","c-18_Macrophage","Macrophage",481,0.0037923684519397,0.42,0.36183272240936,31.39,0.0259187643969871,2.91,0.0953614185125751,8.32
"19","c-19_Tumor epithelial","Tumor epithelial",170,0.106732978664951,24.71,0.0108649073272261,3.53,0.2377535602408,38.82,0.158269004971263,31.18
"2","c-2_Cytotoxic T/NKT","Cytotoxic T/NKT",4226,0.00102525107469573,0.09,0.0179792365181971,1.33,0.032581995524093,2.34,0.0800217955360295,5.42
