"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"LUM",3.41135602926788e-05,3.42822408155965,12.468943287636,0.000413774101030474,0.299365562095548,"COL1A1","KO",FALSE,"Activated",0.523798160746779
"DCN",1.41270224994477e-05,2.86874978927426,2.13834033838505,0.143657234529395,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"WNT5A",7.62253617578847e-06,2.50720012073585,0.622550438481628,0.43010110314584,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GAS1",5.48737359120358e-06,2.32405344828615,0.322629899368278,0.570031441731523,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CTSK",4.99544533610703e-06,2.2728771389466,0.267376957393739,0.605096783562665,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PDGFRA",4.76382196764672e-06,2.24720195103047,0.243156901469502,0.621935274224713,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"STEAP1",4.34766136258206e-06,2.19812899449538,0.202528886269644,0.652687298725885,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"FAP",3.93385642883964e-06,2.14497874740019,0.165810705244993,0.683862124894639,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MMP2",3.43847672826276e-06,2.0743401622818,0.1266799063842,0.721899572690271,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MCAM",3.07511693823688e-06,2.01648453531541,0.10132085032918,0.750250283036344,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CTHRC1",3.02115482841704e-06,2.00737637756876,0.0977960964617759,0.754490607583372,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MYLK",2.65292122788295e-06,1.94102737783777,0.0754091880600322,0.78361793092802,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SPARCL1",2.5828152099437e-06,1.92746975184412,0.0714763267539496,0.789199254773336,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"IGFBP7",2.57284852783918e-06,1.92551568036568,0.0709257590333527,0.789993614788036,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MYL9",2.53670943662305e-06,1.91837301924238,0.0689472587693817,0.792875781317582,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MRVI1",2.44369248174161e-06,1.89956163703606,0.0639835983241962,0.800307010218843,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"NR2F2",2.4014083769752e-06,1.89079779204431,0.0617884922209829,0.80369116457088,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"HTRA3",2.38536395498505e-06,1.88743627286755,0.0609656010491855,0.804976226807883,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"NOTCH3",2.37637319851775e-06,1.88554374395248,0.0605068921054639,0.805696563267484,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CRIP1",2.36880612544627e-06,1.88394592942585,0.0601221620526042,0.806302962518875,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"LBH",2.36517681564741e-06,1.88317796815014,0.0599380737111686,0.806593844293466,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ITGA7",2.34773807295802e-06,1.87947317802834,0.0590574703850201,0.807991896383355,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SYNPO2",2.3268442377306e-06,1.87500183667681,0.0580109768932157,0.809667748273436,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CDH6",2.27709434100851e-06,1.86420900795063,0.0555568486156873,0.813661587144349,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MEF2C",2.26767512097156e-06,1.86214188715735,0.0550981764822481,0.814418295622758,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MRC2",2.24068852354614e-06,1.85617668443718,0.0537945816670401,0.816587264790931,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TINAGL1",2.23450233295042e-06,1.85480022546332,0.0534979548489271,0.817084660473823,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"FRZB",2.21507493986492e-06,1.8504552741864,0.0525717461919498,0.81864718249009,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"C1QTNF1",2.16495389712337e-06,1.83908633299483,0.0502195549830552,0.822681671271007,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TWIST2",2.14414387098737e-06,1.83429675088517,0.0492587515891394,0.824358157216121,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TAGLN",2.127602401168e-06,1.83045987460224,0.0485016483556412,0.825691334312558,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ACTA2",2.07714997086612e-06,1.81859021676086,0.0462286555015386,0.829760690720413,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SMOC2",2.07106484923323e-06,1.81714123352561,0.0459581936247617,0.830251811214508,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"STEAP2",2.04364279923429e-06,1.81056393253497,0.0447492265948831,0.832465821440974,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"LMOD1",2.04025308720821e-06,1.80974542402005,0.0446009020511787,0.832739593789014,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SCARA5",2.03431823217797e-06,1.80830941194948,0.0443418019432479,0.833218975141717,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"RGS5",2.01498267715317e-06,1.80360481589358,0.0435028979744973,0.834781212478375,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TBX2",2.0126799961067e-06,1.80304185686895,0.0434035263404208,0.834967303698007,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"NDUFA4L2",2.00234030450589e-06,1.800506892668,0.0429587200853387,0.835803019867388,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"A2M",1.9987468964882e-06,1.79962316266193,0.0428046706523521,0.836093504214205,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"EFHD1",1.99725610302773e-06,1.79925611362906,0.0427408415349028,0.836214023717443,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"NEURL1B",1.99365199893575e-06,1.79836773254941,0.0425867266422702,0.836505404460659,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SOD3",1.98838127911673e-06,1.79706595650648,0.0423618468814181,0.836931566347289,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PARM1",1.96358584467566e-06,1.79090021969521,0.0413119162651476,0.838937031134965,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GJA4",1.94449100530975e-06,1.78610439874658,0.0405123496368976,0.840482143385003,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PPP1R12B",1.94259682940579e-06,1.78562636897113,0.0404334599528144,0.840635449531871,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"BICC1",1.9283194190306e-06,1.78200973807982,0.0398413003552326,0.841791193514276,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"EPS8",1.92451299465912e-06,1.78104148636348,0.0396841653735146,0.84209937793627,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PDGFA",1.892869461615e-06,1.77292528475658,0.0383898914675185,0.844662306014023,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MYH11",1.89040585556498e-06,1.77228832072856,0.0382900261323409,0.844861912057855,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TNS1",1.88563261941101e-06,1.77105208863188,0.0380969071842185,0.845248677055623,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"WFDC1",1.86027329106526e-06,1.76443692477532,0.0370790890918506,0.847304111877662,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MUSTN1",1.85806045056882e-06,1.76385587216981,0.0369909285941402,0.847483517439072,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SOD2",1.84986740347334e-06,1.76169912468769,0.0366654276281924,0.848147835683083,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"AOC3",1.83489707218394e-06,1.75773616683424,0.0360743878647248,0.849361955963758,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PTP4A3",1.83426361124173e-06,1.75756784001599,0.0360494842649234,0.849413338664978,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PPP1R14A",1.79071853810185e-06,1.74587034615951,0.0343581850328986,0.852946985935862,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"KLHL23",1.74988031024091e-06,1.73466660458529,0.0328089433733271,0.856263660088474,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ESAM",1.69583839290511e-06,1.71947561850889,0.0308137448070125,0.860656566922524,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COX4I2",1.69338591546467e-06,1.71877602161159,0.030724685176549,0.860856024900652,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SLIT3",1.64613256520719e-06,1.70511649757201,0.0290338860626398,0.8647008192813,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SEPTIN4",1.6426235842161e-06,1.70408823051705,0.0289102377358867,0.864986458381348,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MASP1",1.63778862773946e-06,1.70266818000451,0.0287402973719453,0.865380063819274,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"BCAM",1.63048892684796e-06,1.70051710602861,0.0284846745932365,0.865974383076608,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MME",1.62821560721955e-06,1.69984544677246,0.0284053000860935,0.866159485281617,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CSRP1",1.61978814552801e-06,1.69734819144276,0.0281120157527834,0.866845744773491,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CCN4",1.61325389299518e-06,1.69540393224606,0.0278856645421828,0.867377906822562,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"FRY",1.60900745119436e-06,1.69413663115299,0.0277390552514792,0.867723777420854,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ADRA2A",1.59468376012704e-06,1.68983972776723,0.0272473768279246,0.868890621398996,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MAP1B",1.58537149823662e-06,1.68702763804257,0.0269300802393224,0.869649375081085,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SERPINI1",1.57829800848323e-06,1.68488172170778,0.026690307175726,0.870225796125279,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TMEM45A",1.57409542051199e-06,1.68360268905453,0.0265483580304848,0.870568299097353,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ID4",1.53316154155198e-06,1.6709824539627,0.0251855470446542,0.873905593044749,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GPR4",1.48514407558858e-06,1.65578856073772,0.0236326666599205,0.877823260880084,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"EBF2",1.48320568360768e-06,1.65516603180463,0.0235710167804563,0.877981474683187,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COL14A1",1.48171703501753e-06,1.65468744737281,0.0235237254945302,0.878102983217889,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"IL1R1",1.47523520772293e-06,1.65259858699514,0.0233183648017949,0.878632085330277,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"RAMP1",1.46614565913357e-06,1.64965548986833,0.023031901407423,0.879374143192316,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"LINC01197",1.46480097560742e-06,1.64921871181132,0.0229896731120697,0.87948393026239,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"AVPR1A",1.46020778347657e-06,1.64772405011698,0.0228457212330741,0.879858960206067,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"LINGO1",1.45677826183936e-06,1.64660531322254,0.0227385339028775,0.880138995095448,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GPRC5C",1.45594491031561e-06,1.64633311189661,0.0227125261398299,0.880207044023289,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"JAG1",1.43276586050366e-06,1.6387056649791,0.021995103224322,0.882100126821704,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PDE5A",1.41369406401833e-06,1.63234660684094,0.0214134391614261,0.883658267130055,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"SORT1",1.39331588338995e-06,1.62546665249253,0.0208005458044779,0.885323634625898,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COL6A3",1.3764013737923e-06,1.61968742397363,0.0202985843109787,0.886706325449267,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COL12A1",1.35614372858938e-06,1.61268179651679,0.0197054789432058,0.888362757305791,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PDE1A",1.34371317598427e-06,1.60833653023233,0.019345889662091,0.889379423509421,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"EBF1",1.32491123134629e-06,1.60169528797531,0.0188082815931819,0.890917536394881,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"FILIP1",1.32180588544919e-06,1.60059031744241,0.0187202186769208,0.891171612147003,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"PLAC9",1.30538806598564e-06,1.59470953619715,0.0182580684546081,0.892515083943329,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"CARMN",1.29995687581878e-06,1.5927495528871,0.0181064556800765,0.892959586877271,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TPM1",1.29525480132988e-06,1.59104676871705,0.0179757068394836,0.893344444224005,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"WNT2",1.27848813614711e-06,1.58492965691976,0.017513339216975,0.894716973025798,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COL1A2",1.27435674271968e-06,1.58341136091912,0.0174003345094988,0.895055219825295,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MMP14",1.27173575276569e-06,1.58244585873656,0.0173288330201318,0.895269816271971,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"LGI4",1.26961148081671e-06,1.58166202820097,0.0172709901708596,0.895443749007337,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GJC1",1.26294171992757e-06,1.57919332552012,0.0170900044145309,0.895989893330206,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"MRGPRF",1.25415248802609e-06,1.57592227651218,0.0168529620619781,0.896709662900134,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"TBX3",1.24211490756506e-06,1.57140889357897,0.0165309991383633,0.897695584726526,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GUCY1B1",1.22463669791527e-06,1.5647854963751,0.0160690460031738,0.899127394748247,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ADAP2",1.22338697113362e-06,1.5643086797067,0.0160362662073301,0.899229784650048,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COX7A1",1.21103539081616e-06,1.55957253523102,0.0157140895951098,0.900241837458333,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"FOXS1",1.20278063121803e-06,1.55638316329699,0.0155005963440973,0.900918299144906,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"COL18A1",1.18953828954715e-06,1.55122564582779,0.0151611591574443,0.902003633721052,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"GPX3",1.18905611575686e-06,1.5510368861075,0.0151488706383785,0.902043155871676,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"ATP1B2",1.18383040617821e-06,1.54898674244664,0.0150160095534565,0.902471505120216,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
"RCAN2",1.17561472374552e-06,1.54574716121381,0.0148083130999454,0.903144998567229,0.99999999999975,"COL1A1","KO",FALSE,"Activated",1.08679705480569e-13
