"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"PERP",2.56202111257236e-05,2.66496275221352,1.31877541497025,0.250811943695299,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"KRT6A",1.95738218526242e-05,2.49516254221737,0.769762405032012,0.380290564262265,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"KRT5",1.88615835955771e-05,2.47221613437816,0.714762467267439,0.397867307404039,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"KRT17",1.83395116939508e-05,2.45490813700848,0.675742088546252,0.411056787917942,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"KRT14",1.79904627410342e-05,2.44309339417026,0.650264585302778,0.42001809929515,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"DCN",1.56635144979221e-05,2.35874904287562,0.49292842253155,0.482623902282213,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"LUM",1.44391789094704e-05,2.30984866718376,0.418880775510099,0.517496044451974,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"PDGFRA",1.15277425009039e-05,2.17705540156979,0.266989368185732,0.60535851696238,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"CTSK",1.13252042884477e-05,2.16675675462401,0.257689974904321,0.611711633022692,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"MMP2",1.11777157829538e-05,2.15915503528363,0.251021869038164,0.616356465439232,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"S100A2",1.03673742413852e-05,2.11574709855954,0.215944916904464,0.642147212389072,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"WNT5A",9.90507763366287e-06,2.08962982790034,0.197115693055742,0.657059117896174,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"SPINT2",9.20324804383532e-06,2.04785786749689,0.170171837414111,0.679959135486979,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"GAS1",8.53068454275807e-06,2.00511577058335,0.146208694263789,0.702185118728035,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"SOD2",8.07153067812807e-06,1.97420271786014,0.13089324583335,0.717507683014146,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"TIMP2",7.62188862635808e-06,1.94239591425751,0.116716063227121,0.732623842669778,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"BICC1",7.53715077777132e-06,1.93621795929334,0.114135262044265,0.735484437832508,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"SERPINB5",7.50642584961785e-06,1.93396283744362,0.113206621988913,0.736522564614986,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL1A2",7.46186752083426e-06,1.93067794371076,0.111866616386896,0.738028945541855,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL17A1",7.30251667901116e-06,1.91878774508472,0.107139730328191,0.743424309866461,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"DSG3",7.27553452575665e-06,1.91675192161127,0.106349449384501,0.744339139334912,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FXYD3",6.86444693557159e-06,1.88488568331201,0.0946709070221876,0.758320986224225,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"STEAP1",6.85669355471794e-06,1.88426873244737,0.094457166551073,0.758585470331571,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL6A3",6.78344195156057e-06,1.87840954377426,0.0924497326576588,0.761085626643304,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"TWIST2",6.7391637196648e-06,1.87484086229688,0.0912467590812004,0.762598103035964,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FAP",6.66954483827913e-06,1.86918796207707,0.0893712489001709,0.764978009214799,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"SLC2A1",6.62703900141455e-06,1.86571106076802,0.088235730748053,0.766432155351602,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"CTHRC1",6.46943958778157e-06,1.85264647182003,0.0840889166310162,0.771830857262816,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"TP63",6.23376463857215e-06,1.83257854180667,0.0780739650446208,0.779924681919453,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL1A1",6.19591662397941e-06,1.82929387652507,0.0771287980919772,0.781226754109224,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL3A1",6.0925587954717e-06,1.82023332262809,0.0745769970213423,0.784785653523355,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"ITGA6",6.04920452968364e-06,1.81639257730456,0.0735194028890603,0.786279807632552,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"LAMC2",6.02139495414304e-06,1.81391619152295,0.0728449856952775,0.787238647063139,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"CDH3",5.9808059156168e-06,1.81028373860022,0.0718662282279158,0.788638685135424,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"CLCA2",5.85586683329031e-06,1.7989650483822,0.0688950179667871,0.792952478190711,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"IL1R1",5.79928550455659e-06,1.79376924674668,0.0675700769952787,0.794908166554309,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL6A1",5.7828250998907e-06,1.79224934966994,0.0671870462376585,0.795477349970281,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"HTRA3",5.73521670676809e-06,1.78783187720421,0.0660853354353547,0.797124209689088,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FSTL1",5.73149314407203e-06,1.78748502065128,0.0659995521000342,0.797253052596305,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"STEAP2",5.5396400765201e-06,1.76934017067066,0.0616550324653216,0.803898961242982,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL6A2",5.4737216590523e-06,1.76297834536054,0.0601964462320429,0.806185718259176,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FGFR1",5.39222085348671e-06,1.75501900479007,0.0584172053939892,0.809015330095433,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FBN1",5.35633292587939e-06,1.75148066563828,0.0576422015658873,0.810262111352592,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"MRC2",5.31416341853764e-06,1.74729630619626,0.0567381596179813,0.811727735962162,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"DSC3",5.16546465747996e-06,1.73230493228352,0.053607335623835,0.816901077733894,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"DSP",5.13985863479658e-06,1.72968525615122,0.0530771729103685,0.817792742959693,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FBLN2",5.08638671488967e-06,1.72417755148307,0.0519785531160341,0.819655526916417,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"KRT6B",5.04878296859666e-06,1.72027377379011,0.0512128373809513,0.820966126829641,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"TMEM45A",5.0250549789561e-06,1.71779733231043,0.0507325940549362,0.821793373789575,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"GJB2",4.98605249041966e-06,1.71370432865947,0.0499481176688782,0.823153577453177,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"MXRA8",4.87674292775398e-06,1.70208151409735,0.0477820919190108,0.826968545479713,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"MMP14",4.77686565164961e-06,1.69125991856164,0.045844948350385,0.830457897487427,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL5A2",4.7642046655819e-06,1.68987395999512,0.0456022481911718,0.830900467076145,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"OCIAD2",4.75082121106553e-06,1.68840539518142,0.0453463992436404,0.831368349137986,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"F11R",4.48391810094974e-06,1.65833234091133,0.0403943642102345,0.84071148186714,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FBLN5",4.34627551865083e-06,1.64220418921122,0.0379524608527929,0.845538629664652,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"SDC1",4.31389249198841e-06,1.63834465745872,0.0373890188893888,0.846675157812717,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"MME",4.30762362425946e-06,1.63759457309587,0.0372804318019244,0.846895209526449,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"VCAN",4.22562887175713e-06,1.62769443397375,0.0358746882842679,0.849774507550628,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL5A1",4.21746125865437e-06,1.62669905310319,0.0357361397242589,0.85006142891915,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"ADAMTS2",4.19909765746325e-06,1.6244549005514,0.0354256138064621,0.850706599218938,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"TBX3",4.19400518245371e-06,1.6238310408771,0.0353397407571589,0.850885531391869,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"CCN4",4.15680037355799e-06,1.61925293717089,0.0347155276504911,0.852193013650995,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"COL12A1",4.15003379668332e-06,1.61841643686423,0.0346025974771804,0.852430854081401,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"IGFBP4",4.05613932037925e-06,1.60668365712361,0.0330545433115687,0.855732554718503,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"LAMA3",4.02624094418675e-06,1.6028975778366,0.0325690398671959,0.856784432923189,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"SCARA5",3.99041196650852e-06,1.59832784932736,0.0319919639759375,0.85804529524728,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"FKBP10",3.98592545024276e-06,1.59775309129041,0.0319200657461551,0.858203206422613,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"NNMT",3.97951847848187e-06,1.59693132238434,0.0318175316686581,0.85842872138911,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"AEBP1",3.90691358044406e-06,1.58753682495164,0.0306671235978972,0.860985098393618,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"MASP1",3.89572282126058e-06,1.5860752201467,0.030491692592055,0.861379248913443,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"LOXL1",3.87494157034763e-06,1.5833512135645,0.0301672519349146,0.862111278332656,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"RHOD",3.72662828180465e-06,1.56352913873884,0.0279021445864315,0.867339086717687,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
"RCN3",3.69144670459142e-06,1.55872563971051,0.0273778058318989,0.868580042281419,0.999999999999662,"EMP1","KO",FALSE,"Activated",1.46577774916124e-13
