"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"LUM",0.00010454655225464,3.15955146490206,11.133679938311,0.000847742391659557,0.61334162036569,"MYH11","KO",FALSE,"Activated",0.212297563794729
"DCN",4.54213113207723e-05,2.71561674736933,2.10154473176131,0.14715040924891,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"WNT5A",2.32322699848705e-05,2.38201071909587,0.549797289081367,0.458400533526892,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"GAS1",1.82228160933931e-05,2.2660474919743,0.338259721167066,0.560835470371642,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"PDGFRA",1.69682703684212e-05,2.23246880416773,0.293288107412416,0.588121097818722,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"CTSK",1.55685870601459e-05,2.19222779239878,0.246898073514684,0.619267758156162,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"STEAP1",1.38083045061833e-05,2.13666125324276,0.194222711743059,0.659425085648689,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"FAP",1.33911875890644e-05,2.1225521959266,0.182665903682411,0.669092144741555,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MMP2",1.29350340528525e-05,2.10665740189484,0.17043330068033,0.679727006459895,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"CTHRC1",1.0226655933467e-05,2.00020559194093,0.106533597185798,0.744125634544565,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MCAM",1.00430143873746e-05,1.99208850481378,0.102741871351153,0.748563766043878,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"IGFBP7",8.83234482714369e-06,1.9349240582037,0.0794641668605139,0.778024872474542,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"SPARCL1",8.64951214358111e-06,1.92567800161607,0.0762083445226795,0.782503066419305,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MYLK",8.55101560175922e-06,1.92062295579718,0.0744825779327538,0.78491858291388,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MYL9",8.1830897801521e-06,1.90125941656521,0.0682109242331711,0.793959706361643,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"NR2F2",7.93788275852184e-06,1.88790956472188,0.0641842783080281,0.800000726427142,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"NOTCH3",7.79449267037849e-06,1.87992803238338,0.0618863697880329,0.803538920734259,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"CDH6",7.7483805760519e-06,1.87733288813144,0.0611562981875486,0.804677610593228,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"HTRA3",7.67646560696384e-06,1.87325739838899,0.0600263476266139,0.806454301863515,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MRVI1",7.66694682974385e-06,1.87271535910967,0.0598775752078705,0.806689542570274,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MEF2C",7.48426505739264e-06,1.86219224126416,0.0570581414833653,0.811207582460838,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"ITGA7",7.43335852016969e-06,1.85921820832072,0.0562845841588981,0.812467718223515,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"SYNPO2",7.40510391702267e-06,1.85755952686543,0.0558575157810313,0.813167339938475,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"TWIST2",7.24539134035026e-06,1.84807391848424,0.0534740401032676,0.817124824889073,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"CRIP1",7.17779233497186e-06,1.84400167677113,0.052480876621851,0.818801258202922,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"SOD2",7.15845318615812e-06,1.8428302444098,0.0521984588076798,0.819281015586669,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"MRC2",7.11328775267863e-06,1.84008317828921,0.0515418564488569,0.820401723686597,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"TINAGL1",7.04755305392383e-06,1.83605654802276,0.050593649749058,0.822033480110857,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"LBH",7.0273865407298e-06,1.83481438133888,0.0503045174187071,0.82253423553636,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"FRZB",7.00010184760332e-06,1.83312859376999,0.049914648787311,0.823211857784372,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"NDUFA4L2",6.99564162113393e-06,1.83285244982708,0.0498510612235164,0.823322641186896,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"C1QTNF1",6.97649366320209e-06,1.8316651280393,0.0495785373527822,0.823798279422619,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"STEAP2",6.8973180154931e-06,1.82672393137211,0.0484595975518795,0.825765700043051,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"BICC1",6.85955993969421e-06,1.82434932314938,0.0479304838106267,0.826704329544662,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"SCARA5",6.79514940387734e-06,1.82027095298365,0.0470345855898057,0.828306084512569,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"TAGLN",6.78359218015121e-06,1.81953544871771,0.0468747283367502,0.828593564199888,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"ACTA2",6.7295918018109e-06,1.81608367057008,0.0461314118006757,0.829937098046509,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"SMOC2",6.65269027897763e-06,1.81112426288657,0.0450831146098818,0.831851271919178,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"RGS5",6.54389070121801e-06,1.80401788176525,0.0436205739823158,0.83456112963201,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
"TBX2",6.53533000728216e-06,1.80345417686762,0.0435065200821797,0.834774433623107,0.999999999999937,"MYH11","KO",FALSE,"Activated",2.74351164234419e-14
