"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"FSTL1",1.48103419273892e-07,1.62977287320007,0.0245631373980035,0.875460548041051,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL5A2",1.43100703705007e-07,1.61183731310414,0.0229317503939823,0.879634688328741,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"PRRX1",1.41880264018413e-07,1.60738032319025,0.0225422697802481,0.880653504896583,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"TIMP2",1.40989959620391e-07,1.60410817793005,0.0222602500975312,0.881396851009002,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"BGN",1.40276930160371e-07,1.60147476565052,0.0220356656119038,0.881992259497281,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"AEBP1",1.38812146050393e-07,1.59602869373234,0.0215778715813806,0.88321562244668,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL1A2",1.35005218973648e-07,1.58164044012196,0.0204105535023868,0.886396399363612,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL6A1",1.34320725861609e-07,1.57901656676444,0.0202041101316713,0.886968505117139,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL3A1",1.33301569186324e-07,1.57508849113974,0.0198986764612029,0.88782043487067,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL6A2",1.32507968382436e-07,1.57201188071763,0.0196624512064292,0.88848390859029,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"FARP1",1.32190250952597e-07,1.57077572980674,0.0195682740165536,0.888749551676987,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"FKBP10",1.31945427038959e-07,1.56982144756654,0.0194958580101897,0.888954257124162,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL6A3",1.31078489749208e-07,1.56643001418907,0.0192405075813463,0.889679191780301,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"LAMA4",1.30782319605785e-07,1.56526699488,0.0191536584560893,0.889926871005636,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL5A1",1.30489546331628e-07,1.56411509179774,0.0190679985204874,0.890171720078813,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"SPARC",1.29435242549546e-07,1.55994852955634,0.0187611195479424,0.89105353097444,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"FBN1",1.29049573917533e-07,1.55841710887798,0.0186494838679822,0.891376134726253,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"PMP22",1.28996010328531e-07,1.55820410710152,0.0186340056924405,0.891420940972433,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"PCOLCE",1.28891127619351e-07,1.55778680910412,0.0186037165312549,0.891508676957806,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"RHOBTB3",1.28371462310953e-07,1.55571490360331,0.0184540054214089,0.89194340448454,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"ANXA6",1.27797289726042e-07,1.55341729402888,0.0182892945472931,0.892423767992561,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"CTSK",1.27697388727652e-07,1.55301662600151,0.0182607117088561,0.892507351070013,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"IGFBP4",1.27455861909684e-07,1.55204683419937,0.0181917004209494,0.892709431606774,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"ADAMTS2",1.27251697109817e-07,1.55122583008372,0.0181334664549936,0.892880257542837,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"DCN",1.26679522924832e-07,1.54891892073003,0.0179707625314023,0.89335902563764,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"TUBA1A",1.26496863210222e-07,1.54818058540687,0.0179189756643565,0.893511874775113,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"EFEMP2",1.26121077118091e-07,1.54665872625329,0.0178126694727923,0.893826343956055,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"DDR2",1.25598603032285e-07,1.54453633290152,0.0176653922476302,0.894263593816285,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"S100A4",1.24516349487148e-07,1.54011580113949,0.0173622668400135,0.895169415849502,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"CDH11",1.24459174920635e-07,1.53988135269423,0.0173463259265779,0.895217273496076,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"LUM",1.24143647445177e-07,1.53858584510328,0.0172584850007354,0.895481390834514,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"THY1",1.24011312631822e-07,1.53804165765638,0.017221710165425,0.895592167264593,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"CRISPLD2",1.23641979945101e-07,1.53652024750031,0.017119282914017,0.895901343510796,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"SERPINF1",1.23233897231429e-07,1.53483467209746,0.0170064643619372,0.896242976612856,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"RCN3",1.23198313599577e-07,1.53468746793521,0.0169966445897453,0.896272766943728,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"NNMT",1.23071019477285e-07,1.53416057239651,0.0169615393169442,0.896379337757885,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"SDC2",1.22310556297444e-07,1.53100309035834,0.0167525741927749,0.897016037459738,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"NID1",1.21982067876952e-07,1.52963397860702,0.0166627105360928,0.897291085747616,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"PDGFRB",1.21796623817321e-07,1.52885966618752,0.0166120858509593,0.897446366296442,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"MRC2",1.21625217870268e-07,1.52814306925786,0.0165653619497517,0.897589895602996,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"IL1R1",1.21158879480489e-07,1.52618905396638,0.0164385748485644,0.897980407901524,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"ADAM12",1.20159356429032e-07,1.52197909944271,0.0161684673609215,0.898817492758808,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"ANTXR1",1.19644717864629e-07,1.51979973181285,0.0160302659262324,0.899248538441616,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"COL5A3",1.18810519972551e-07,1.51624996663754,0.0158075098180451,0.899947300425169,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"EMILIN1",1.18773905534182e-07,1.51609367182879,0.0157977683589406,0.899977972119854,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"FGFR1",1.1832080145898e-07,1.51415609337003,0.0156774661798433,0.900357547024387,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"LRP1",1.18318103288951e-07,1.51414453631599,0.0156767511747629,0.900359807407052,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
"OLFML2B",1.17842220381543e-07,1.51210264490135,0.0155508990046328,0.900758489299866,0.999999999940206,"COL1A1","OE",FALSE,"Activated",2.59681332657232e-11
