"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"IGFBP4",1.05916718778425e-07,1.68453889799781,0.0457075962480692,0.830708211464098,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"DCN",1.02605992025248e-07,1.6687098217252,0.042894814427591,0.83592345796446,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"FBN1",1.0125753119196e-07,1.66213620254218,0.0417747649488377,0.83804971352423,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"SERPINF1",9.57683363206401e-08,1.63457300865819,0.0373682906300115,0.84671713800265,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"LRP1",9.46522783654869e-08,1.62880288656326,0.0365024059490955,0.848481697311339,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"FSTL1",9.40042997179877e-08,1.62542581716855,0.0360043341026402,0.849506542279919,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"PMP22",9.23818376643608e-08,1.61688118767224,0.0347722297195119,0.85207374527061,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"NNMT",9.23681076322526e-08,1.61680832891509,0.0347618946067971,0.852095476871267,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"TIMP2",9.20160404766235e-08,1.61493687999912,0.0344974051048569,0.852652759533469,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"MRC2",9.17022141147792e-08,1.6132634944245,0.0342624953352305,0.853149573344153,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"CCDC80",9.12927397701116e-08,1.61107265737502,0.033957196493412,0.85379789360976,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"RUNX1T1",9.10293567309358e-08,1.60965898210998,0.0337615435179993,0.854214959892137,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"IL1R1",8.84462633202294e-08,1.59560447515922,0.0318726611178267,0.858307422338463,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"CDH11",8.83070990817771e-08,1.59483729032569,0.0317724410533933,0.858528013041904,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"FGFR1",8.80201471792596e-08,1.59325208632411,0.0315662888980855,0.85898289838136,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"MMP2",8.79579045014753e-08,1.59290765231963,0.0315216610321575,0.859081573649775,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"BICC1",8.74458581356362e-08,1.59006612710036,0.0311557230073932,0.859893420203486,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
"AEBP1",8.61746361399681e-08,1.58294918006255,0.0302564703433134,0.861909573875194,0.999999999999164,"EMP1","OE",FALSE,"Activated",3.6316572390412e-13
