"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"AC114977.1",1.59289496677077e-07,2.93875595816184,326.927133203717,4.48818970874393e-73,5.38582765049272e-70,"MYH11","OE",TRUE,"Activated",69.2687475483693
"TNIP3",1.58467410518559e-07,2.93659360985766,323.561327655306,2.42761695370058e-72,1.94209356296046e-69,"MYH11","OE",TRUE,"Activated",68.7117298512052
"S100A7A",1.16560017261193e-08,1.94511597693527,1.75055553261087,0.185806909422529,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"GABRA4",8.73936895476548e-09,1.84699146552557,0.984094569808327,0.321190009228131,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"AVPR1A",6.18274850589223e-09,1.73180924055716,0.492538120228094,0.482797286505583,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"RGS5",6.00042607399497e-09,1.72198503754608,0.46391761745019,0.495798738418395,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PXDNL",5.93773775436782e-09,1.71854321968892,0.454274868737315,0.500311847223422,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ACTC1",5.77895533352001e-09,1.70967260130325,0.430303978722141,0.511839828215309,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"WNT6",5.76553355886513e-09,1.70891246423836,0.42830751538441,0.512820595320157,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"GPR4",5.75057969551905e-09,1.70806362581262,0.426088624116452,0.513914468707404,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"HIGD1B",5.70140114447681e-09,1.70525757728863,0.418832026733168,0.517520416257265,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"CDH6",5.46954613735316e-09,1.69171876812814,0.385459955045394,0.53469554880595,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PARM1",5.25687585509094e-09,1.6788245578628,0.356067330140467,0.550698493679496,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ADAP2",5.24176960875893e-09,1.67789038953146,0.354023868364111,0.551844106644421,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"LINC02515",5.04575694162636e-09,1.665537512657,0.328041915328132,0.566814360380402,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ACAN",5.01230870878284e-09,1.66338531304126,0.323707162585704,0.569388247117876,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL5A2",4.84733071843319e-09,1.65257140841683,0.302748492178206,0.582164471614286,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PRRX1",4.75233524606907e-09,1.64618904958313,0.290998550412744,0.589581345215828,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"BGN",4.59196543385493e-09,1.63514144109483,0.271690158223322,0.602200246835022,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PI15",4.52217731119948e-09,1.63022189087518,0.263494685142966,0.607729360769221,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"CCDC102B",4.51002822303218e-09,1.6293582926788,0.262080799834705,0.608694207951835,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL6A1",4.49024966973165e-09,1.62794774773192,0.259787149941342,0.610266423330827,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"FARP1",4.47634264735528e-09,1.62695249331526,0.258180437103176,0.611372983525553,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL6A2",4.44809606902682e-09,1.62492218633163,0.254932381580053,0.613623251061061,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"LAMA4",4.41596409818149e-09,1.62259804005043,0.251262544827176,0.616187480579956,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL5A1",4.3709857196931e-09,1.61931825753157,0.246170190350928,0.619784768397725,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PPP1R14A",4.35012829512315e-09,1.61778673449929,0.243826450890372,0.621456007562511,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ANXA6",4.31561529715758e-09,1.61523751003973,0.239972863548363,0.624225714825869,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"SPARC",4.2527082401494e-09,1.6105420738281,0.233027868967857,0.629287741555867,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"FKBP10",4.23310242481935e-09,1.60906552967714,0.23088421376949,0.630868971018595,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ADAMTS2",4.22304976431727e-09,1.60830599089643,0.22978892031424,0.631680385067698,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"S100A4",4.21105575337616e-09,1.60739757811796,0.228485512990305,0.632649078612401,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL3A1",4.17300440066497e-09,1.60449967086707,0.224374951282321,0.635726454569622,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"NID1",4.17191713778058e-09,1.60441650829987,0.224258046169118,0.635814479007285,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"TUBA1A",4.15204312109094e-09,1.60289283779785,0.222126511825264,0.637424378160477,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PDGFRB",4.13022415222116e-09,1.60121225849191,0.219798098102397,0.639193800552272,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"SDC2",4.09926261897028e-09,1.59881332060542,0.216515090435267,0.641708170962465,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"NMNAT2",4.09523470523556e-09,1.59850000049319,0.216089806317062,0.642035578816931,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"AEBP1",4.08255853897342e-09,1.59751209166566,0.214754131495423,0.643066411378006,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"RCN3",4.07067262578728e-09,1.59658318718103,0.213505486456588,0.644033604800029,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL1A2",4.05747776880954e-09,1.59554904043241,0.212123597633788,0.645108017395413,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL1A1",4.05734381590924e-09,1.59553852591793,0.212109591838213,0.645118928532004,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"NDUFA4L2",4.05446840088589e-09,1.59531274522038,0.211809056799868,0.645353163949941,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"TRPC6",4.02610739311021e-09,1.59307783043349,0.208856211781614,0.647665374225315,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ADAMTS9",3.99997894249001e-09,1.59100590767311,0.206154156868957,0.649798582379816,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"THY1",3.97609531779939e-09,1.58910100195613,0.203699639480993,0.651751031051023,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ADAM12",3.95342795929404e-09,1.58728327828001,0.20138371348322,0.653606263004254,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"OLFML2B",3.94725291780904e-09,1.58678642153965,0.200755103771988,0.654112037163065,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"CRISPLD2",3.94308942647131e-09,1.58645101194769,0.200331821384294,0.654453142582393,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"TMEM47",3.93395678385314e-09,1.58571413900302,0.19940491357215,0.655201611975928,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"FSTL1",3.93135055264907e-09,1.58550356311182,0.199140791118106,0.655415270290529,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"RHOBTB3",3.90528093762111e-09,1.58339007158969,0.196508458718956,0.657554001955024,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"RAMP1",3.84585470729754e-09,1.57852307070389,0.190573465799192,0.66243975494662,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"EGFLAM",3.82772624109686e-09,1.57702448634507,0.188781062121811,0.663933071017823,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL6A3",3.82227277476164e-09,1.5765723912443,0.188243522226928,0.664382556979254,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"PRRX2",3.81509927202542e-09,1.57597679387669,0.18753760805341,0.664973995737441,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"WFDC1",3.80678542663633e-09,1.57528521812764,0.186721136600627,0.66565971406415,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"ADGRA2",3.77203037395237e-09,1.57237894083365,0.183327260455528,0.668529301597581,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COL5A3",3.74580036102742e-09,1.57016907780589,0.180786476524462,0.670698224489456,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"KLF9",3.73823718632551e-09,1.56952922335171,0.180057158786671,0.671324123789763,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"FERMT2",3.7337275723221e-09,1.56914713345239,0.179622997724057,0.671697430682256,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"GJC1",3.71916040098645e-09,1.56790996213107,0.178224130457509,0.672903857499587,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"GJA4",3.69786909615004e-09,1.56609362317847,0.176189390234429,0.674668679680905,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"COX4I2",3.67960255306989e-09,1.56452758936492,0.17445302692262,0.676184209279217,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"GGT5",3.67712828017504e-09,1.56431491080835,0.174218491119079,0.676389594635721,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MAP1B",3.64657283151998e-09,1.56167750779129,0.17133515041353,0.678927933110533,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
