"gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"S100A7A",3.12474475478123e-07,2.23459285382597,0.60258414948063,0.437593751149528,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"IGFBP4",7.98858534139982e-08,1.60601710783223,0.0393847747898169,0.842688324971655,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"DCN",7.81749672137021e-08,1.59683371314228,0.0377158607660107,0.846014806071372,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FSTL1",7.81363205887072e-08,1.5966242331481,0.0376785795111129,0.846089978761406,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FBN1",7.80343461286142e-08,1.59607105228736,0.037580296266074,0.846288339014602,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"TIMP2",7.60335983141527e-08,1.58508655756842,0.0356779338917417,0.850182139688509,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"SERPINF1",7.47242955847534e-08,1.57775941372247,0.0344597615263914,0.85273225444827,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"PMP22",7.41731084798654e-08,1.57464093912683,0.0339532669688907,0.853806257791004,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"NNMT",7.23948598474642e-08,1.56443880893951,0.0323447703235481,0.857273062270305,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"LRP1",7.19383907495897e-08,1.56178433913766,0.0319381712517667,0.858163423751145,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"AEBP1",7.19227067764823e-08,1.56169286965251,0.0319242464806145,0.858194019189557,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"MRC2",7.17800332576708e-08,1.56085998385397,0.031797715454539,0.858472348676255,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"CDH11",7.03728342311364e-08,1.55256601461587,0.0305631908246729,0.861218469184094,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"IL1R1",6.98928048022945e-08,1.54970326657765,0.0301476556750776,0.862155622583013,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"CTSK",6.9657496611084e-08,1.54829362248636,0.0299450010907257,0.862615081776949,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"CCDC80",6.96110469945452e-08,1.54801486386887,0.0299050780349662,0.862705784089372,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FGFR1",6.94645970309359e-08,1.54713489682103,0.0297793798646446,0.862991769238225,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"RUNX1T1",6.89477659013233e-08,1.5440163066378,0.0293378987248008,0.86400117205718,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"PCOLCE",6.89031444773514e-08,1.54374609245292,0.029299937372729,0.864088330862627,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"PRRX1",6.84542215692222e-08,1.54101892723165,0.0289193868436175,0.864965301587792,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"BGN",6.81692941306323e-08,1.53927982588475,0.0286791451731774,0.86552199358331,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"MXRA8",6.75515489081005e-08,1.53548719274131,0.0281617235759406,0.866729174686505,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"MMP2",6.69856828573859e-08,1.53198613358607,0.0276918892589216,0.867835247832289,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"LUM",6.68504263254582e-08,1.53114542940375,0.027580172029057,0.868099666144974,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"COL1A2",6.66655804024952e-08,1.52999406692402,0.02742786083633,0.868461052564371,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"BICC1",6.63829660055512e-08,1.52822827277543,0.0271958047175241,0.869013636145316,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"DDR2",6.61504735221637e-08,1.52677066656104,0.0270056430427063,0.869468266518466,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"COL6A3",6.61184291628646e-08,1.5265694110647,0.02697948543926,0.869530931454059,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"DAB2",6.60003060161945e-08,1.52582679160687,0.0268831717489933,0.869761936418176,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"COL3A1",6.59223621458939e-08,1.52533613005681,0.0268197132198729,0.869914371741832,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"EFEMP2",6.58262590917538e-08,1.52473045052702,0.0267415734951491,0.870102327750751,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"VCAN",6.57573450060063e-08,1.52429564637379,0.026685610830542,0.870237112756901,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"COL5A2",6.56700447311059e-08,1.52374425968847,0.026614801562999,0.870407863640544,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"RHOBTB3",6.49836118174918e-08,1.51938609690757,0.0260613134780991,0.871750669831702,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FKBP10",6.4481149580193e-08,1.51617015396516,0.0256598522476856,0.872733825520042,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"ZBTB20",6.40707123459835e-08,1.5135267637536,0.0253342302533232,0.873537064070893,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"SFRP2",6.40443786276923e-08,1.51335665409043,0.0253134092773549,0.87358860444345,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FBLN2",6.37191282556485e-08,1.51125051101626,0.0250569530588776,0.874225228871405,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"ANTXR1",6.35438763523151e-08,1.51011174221023,0.0249193102508304,0.87456828960507,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
"FBLN5",6.30940824717009e-08,1.50717630124189,0.0245677772894599,0.875448882063429,0.999999999996263,"SASH1","OE",FALSE,"Activated",1.62305955895887e-12
