"sample_key","hires_file","short_sample","scale_file","aggregation_index"
"GSM7998252_UH8","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998252_UH8_tissue_hires_image.png.gz","UH8","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998252_UH8_scalefactors_json.json.gz",1
"GSM7998252_UH8","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998252_UH8_tissue_hires_image.png.gz","UH8","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998252_UH8_scalefactors_json.json.gz",2
"GSM7998253_UH12","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998253_UH12_tissue_hires_image.png.gz","UH12","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998253_UH12_scalefactors_json.json.gz",3
"GSM7998253_UH12","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998253_UH12_tissue_hires_image.png.gz","UH12","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998253_UH12_scalefactors_json.json.gz",4
"GSM7998254_UH17","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998254_UH17_tissue_hires_image.png.gz","UH17","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998254_UH17_scalefactors_json.json.gz",5
"GSM7998254_UH17","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998254_UH17_tissue_hires_image.png.gz","UH17","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998254_UH17_scalefactors_json.json.gz",6
"GSM7998255_UH19","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998255_UH19_tissue_hires_image.png.gz","UH19","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998255_UH19_scalefactors_json.json.gz",7
"GSM7998255_UH19","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998255_UH19_tissue_hires_image.png.gz","UH19","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998255_UH19_scalefactors_json.json.gz",8
"GSM7998256_UH20","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998256_UH20_tissue_hires_image.png.gz","UH20","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998256_UH20_scalefactors_json.json.gz",9
"GSM7998256_UH20","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998256_UH20_tissue_hires_image.png.gz","UH20","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998256_UH20_scalefactors_json.json.gz",10
"GSM7998257_UH21","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998257_UH21_tissue_hires_image.png.gz","UH21","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998257_UH21_scalefactors_json.json.gz",11
"GSM7998257_UH21","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998257_UH21_tissue_hires_image.png.gz","UH21","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998257_UH21_scalefactors_json.json.gz",12
"GSM7998258_UH22","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998258_UH22_tissue_hires_image.png.gz","UH22","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998258_UH22_scalefactors_json.json.gz",13
"GSM7998258_UH22","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998258_UH22_tissue_hires_image.png.gz","UH22","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998258_UH22_scalefactors_json.json.gz",14
"GSM7998259_UH24","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998259_UH24_tissue_hires_image.png.gz","UH24","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998259_UH24_scalefactors_json.json.gz",15
"GSM7998259_UH24","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/raw_extracted/GSM7998259_UH24_tissue_hires_image.png.gz","UH24","/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/data/raw/GSE252265/GSE252265_RAW/GSM7998259_UH24_scalefactors_json.json.gz",16
